participant,task,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,cogpro_explain,cogpro_predict,feature_dimension,feature_importance,feature_relevance,abs_feature_importance
1,accommodate,stripes,feet,W,C,Yes,5.0,7.0,feet,6.0,irrelevant,6.0
2,accommodate,stripes,feet,W,F,Yes,1.0,3.0,feet,-3.0,irrelevant,3.0
3,accommodate,feet,stripes,W,F,No,1.0,1.0,feet,0.0,relevant,0.0
4,accommodate,feet,stripes,W,F,Yes,6.0,6.0,feet,-5.0,relevant,5.0
5,accommodate,stripes,feet,W,C,Yes,5.0,6.0,feet,6.0,irrelevant,6.0
6,accommodate,stripes,feet,E,C,Yes,2.0,7.0,feet,-4.0,irrelevant,4.0
7,accommodate,stripes,feet,E,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
8,accommodate,stripes,feet,E,C,No,6.0,5.0,feet,0.0,irrelevant,0.0
9,accommodate,feet,stripes,W,C,No,4.0,5.0,feet,0.0,relevant,0.0
10,accommodate,feet,stripes,W,C,Yes,6.0,6.0,feet,6.0,relevant,6.0
11,accommodate,feet,stripes,E,F,No,5.0,5.0,feet,0.0,relevant,0.0
12,accommodate,feet,stripes,W,C,No,5.0,6.0,feet,0.0,relevant,0.0
13,accommodate,feet,stripes,E,C,No,5.0,4.0,feet,0.0,relevant,0.0
14,accommodate,feet,stripes,W,C,No,6.0,6.0,feet,0.0,relevant,0.0
15,accommodate,stripes,feet,E,F,Yes,6.0,6.0,feet,4.0,irrelevant,4.0
16,accommodate,feet,stripes,E,C,No,1.0,1.0,feet,0.0,relevant,0.0
17,accommodate,stripes,feet,E,C,No,6.0,5.0,feet,0.0,irrelevant,0.0
18,accommodate,feet,stripes,E,C,No,4.0,7.0,feet,0.0,relevant,0.0
19,accommodate,stripes,feet,E,F,Yes,5.0,7.0,feet,-4.0,irrelevant,4.0
20,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,-6.0,relevant,6.0
21,accommodate,stripes,feet,W,F,Yes,5.0,6.0,feet,-4.0,irrelevant,4.0
22,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
23,accommodate,feet,stripes,E,C,No,7.0,5.0,feet,0.0,relevant,0.0
24,accommodate,stripes,feet,E,C,Yes,7.0,3.0,feet,7.0,irrelevant,7.0
25,accommodate,stripes,feet,W,C,Yes,7.0,7.0,feet,2.0,irrelevant,2.0
26,accommodate,feet,stripes,E,F,No,1.0,1.0,feet,0.0,relevant,0.0
27,accommodate,feet,stripes,W,F,Yes,7.0,4.0,feet,4.0,relevant,4.0
28,accommodate,feet,stripes,W,C,No,6.0,5.0,feet,0.0,relevant,0.0
29,accommodate,stripes,feet,W,F,No,5.0,6.0,feet,0.0,irrelevant,0.0
30,accommodate,feet,stripes,E,F,Yes,5.0,5.0,feet,6.0,relevant,6.0
31,accommodate,feet,stripes,W,C,No,2.0,1.0,feet,0.0,relevant,0.0
32,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,7.0,relevant,7.0
33,accommodate,stripes,feet,W,F,Yes,5.0,5.0,feet,5.0,irrelevant,5.0
34,accommodate,feet,stripes,E,F,No,5.0,4.0,feet,0.0,relevant,0.0
35,accommodate,stripes,feet,W,C,Yes,5.0,5.0,feet,-5.0,irrelevant,5.0
36,accommodate,stripes,feet,W,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
37,accommodate,stripes,feet,E,C,Yes,6.0,6.0,feet,5.0,irrelevant,5.0
38,accommodate,stripes,feet,W,F,Yes,5.0,4.0,feet,-4.0,irrelevant,4.0
39,accommodate,stripes,feet,E,F,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
40,accommodate,stripes,feet,E,F,Yes,6.0,5.0,feet,6.0,irrelevant,6.0
41,accommodate,stripes,feet,E,F,Yes,7.0,7.0,feet,3.0,irrelevant,3.0
42,accommodate,stripes,feet,E,F,Yes,7.0,5.0,feet,5.0,irrelevant,5.0
43,predict,stripes,feet,W,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
44,predict,feet,stripes,E,C,No,3.0,3.0,feet,0.0,relevant,0.0
45,predict,feet,stripes,W,C,No,6.0,5.0,feet,0.0,relevant,0.0
46,predict,stripes,feet,W,F,No,4.0,6.0,feet,0.0,irrelevant,0.0
47,predict,feet,stripes,W,C,Yes,4.0,6.0,feet,6.0,relevant,6.0
48,predict,stripes,feet,E,F,No,3.0,5.0,feet,0.0,irrelevant,0.0
49,predict,feet,stripes,W,F,No,2.0,6.0,feet,0.0,relevant,0.0
50,predict,feet,stripes,E,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
51,predict,feet,stripes,E,F,Yes,1.0,7.0,feet,6.0,relevant,6.0
52,predict,feet,stripes,W,C,Yes,6.0,4.0,feet,7.0,relevant,7.0
53,predict,stripes,feet,W,C,Yes,3.0,5.0,feet,4.0,irrelevant,4.0
54,predict,stripes,feet,E,C,Yes,2.0,7.0,feet,-5.0,irrelevant,5.0
55,predict,stripes,feet,E,F,Yes,5.0,7.0,feet,4.0,irrelevant,4.0
56,predict,stripes,feet,W,F,Yes,5.0,3.0,feet,-4.0,irrelevant,4.0
57,predict,stripes,feet,W,C,Yes,1.0,7.0,feet,2.0,irrelevant,2.0
58,predict,feet,stripes,E,F,Yes,5.0,4.0,feet,5.0,relevant,5.0
59,predict,stripes,feet,E,F,Yes,7.0,7.0,feet,2.0,irrelevant,2.0
60,predict,feet,stripes,E,F,No,5.0,6.0,feet,0.0,relevant,0.0
61,predict,stripes,feet,W,F,No,6.0,5.0,feet,0.0,irrelevant,0.0
62,predict,stripes,feet,E,C,Yes,4.0,5.0,feet,-4.0,irrelevant,4.0
63,predict,feet,stripes,W,F,Yes,2.0,5.0,feet,3.0,relevant,3.0
64,predict,stripes,feet,E,C,No,7.0,3.0,feet,0.0,irrelevant,0.0
65,predict,stripes,feet,W,F,Yes,5.0,5.0,feet,4.0,irrelevant,4.0
66,predict,feet,stripes,E,F,Yes,5.0,7.0,feet,3.0,relevant,3.0
67,predict,feet,stripes,W,F,Yes,1.0,7.0,feet,5.0,relevant,5.0
68,predict,feet,stripes,E,C,Yes,1.0,5.0,feet,4.0,relevant,4.0
69,predict,stripes,feet,E,C,Yes,4.0,5.0,feet,5.0,irrelevant,5.0
70,predict,stripes,feet,W,F,Yes,6.0,7.0,feet,7.0,irrelevant,7.0
71,predict,stripes,feet,E,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
72,predict,feet,stripes,E,F,No,7.0,7.0,feet,0.0,relevant,0.0
73,predict,feet,stripes,W,F,Yes,6.0,4.0,feet,7.0,relevant,7.0
74,predict,feet,stripes,E,F,Yes,1.0,4.0,feet,2.0,relevant,2.0
75,predict,stripes,feet,W,C,No,6.0,5.0,feet,0.0,irrelevant,0.0
76,predict,feet,stripes,W,C,No,4.0,5.0,feet,0.0,relevant,0.0
77,predict,feet,stripes,W,C,No,1.0,7.0,feet,0.0,relevant,0.0
78,predict,stripes,feet,E,F,Yes,3.0,3.0,feet,5.0,irrelevant,5.0
79,predict,feet,stripes,W,C,Yes,5.0,6.0,feet,6.0,relevant,6.0
80,predict,stripes,feet,E,C,No,1.0,7.0,feet,0.0,irrelevant,0.0
81,predict,stripes,feet,W,C,Yes,5.0,4.0,feet,7.0,irrelevant,7.0
82,predict,stripes,feet,W,C,Yes,4.0,6.0,feet,-5.0,irrelevant,5.0
83,predict,feet,stripes,E,C,Yes,5.0,4.0,feet,6.0,relevant,6.0
1,accommodate,stripes,feet,W,C,Yes,5.0,7.0,stripes,7.0,relevant,7.0
2,accommodate,stripes,feet,W,F,Yes,1.0,3.0,stripes,5.0,relevant,5.0
3,accommodate,feet,stripes,W,F,No,1.0,1.0,stripes,0.0,irrelevant,0.0
4,accommodate,feet,stripes,W,F,Yes,6.0,6.0,stripes,5.0,irrelevant,5.0
5,accommodate,stripes,feet,W,C,Yes,5.0,6.0,stripes,0.0,relevant,0.0
6,accommodate,stripes,feet,E,C,Yes,2.0,7.0,stripes,0.0,relevant,0.0
7,accommodate,stripes,feet,E,C,No,7.0,7.0,stripes,0.0,relevant,0.0
8,accommodate,stripes,feet,E,C,No,6.0,5.0,stripes,0.0,relevant,0.0
9,accommodate,feet,stripes,W,C,No,4.0,5.0,stripes,-6.0,irrelevant,6.0
10,accommodate,feet,stripes,W,C,Yes,6.0,6.0,stripes,0.0,irrelevant,0.0
11,accommodate,feet,stripes,E,F,No,5.0,5.0,stripes,7.0,irrelevant,7.0
12,accommodate,feet,stripes,W,C,No,5.0,6.0,stripes,0.0,irrelevant,0.0
13,accommodate,feet,stripes,E,C,No,5.0,4.0,stripes,6.0,irrelevant,6.0
14,accommodate,feet,stripes,W,C,No,6.0,6.0,stripes,0.0,irrelevant,0.0
15,accommodate,stripes,feet,E,F,Yes,6.0,6.0,stripes,6.0,relevant,6.0
16,accommodate,feet,stripes,E,C,No,1.0,1.0,stripes,0.0,irrelevant,0.0
17,accommodate,stripes,feet,E,C,No,6.0,5.0,stripes,6.0,relevant,6.0
18,accommodate,feet,stripes,E,C,No,4.0,7.0,stripes,5.0,irrelevant,5.0
19,accommodate,stripes,feet,E,F,Yes,5.0,7.0,stripes,5.0,relevant,5.0
20,accommodate,feet,stripes,E,F,Yes,7.0,7.0,stripes,4.0,irrelevant,4.0
21,accommodate,stripes,feet,W,F,Yes,5.0,6.0,stripes,5.0,relevant,5.0
22,accommodate,feet,stripes,W,F,No,7.0,7.0,stripes,0.0,irrelevant,0.0
23,accommodate,feet,stripes,E,C,No,7.0,5.0,stripes,-6.0,irrelevant,6.0
24,accommodate,stripes,feet,E,C,Yes,7.0,3.0,stripes,0.0,relevant,0.0
25,accommodate,stripes,feet,W,C,Yes,7.0,7.0,stripes,7.0,relevant,7.0
26,accommodate,feet,stripes,E,F,No,1.0,1.0,stripes,0.0,irrelevant,0.0
27,accommodate,feet,stripes,W,F,Yes,7.0,4.0,stripes,-4.0,irrelevant,4.0
28,accommodate,feet,stripes,W,C,No,6.0,5.0,stripes,5.0,irrelevant,5.0
29,accommodate,stripes,feet,W,F,No,5.0,6.0,stripes,5.0,relevant,5.0
30,accommodate,feet,stripes,E,F,Yes,5.0,5.0,stripes,5.0,irrelevant,5.0
31,accommodate,feet,stripes,W,C,No,2.0,1.0,stripes,0.0,irrelevant,0.0
32,accommodate,feet,stripes,E,F,Yes,7.0,7.0,stripes,5.0,irrelevant,5.0
33,accommodate,stripes,feet,W,F,Yes,5.0,5.0,stripes,6.0,relevant,6.0
34,accommodate,feet,stripes,E,F,No,5.0,4.0,stripes,0.0,irrelevant,0.0
35,accommodate,stripes,feet,W,C,Yes,5.0,5.0,stripes,7.0,relevant,7.0
36,accommodate,stripes,feet,W,C,No,7.0,7.0,stripes,6.0,relevant,6.0
37,accommodate,stripes,feet,E,C,Yes,6.0,6.0,stripes,6.0,relevant,6.0
38,accommodate,stripes,feet,W,F,Yes,5.0,4.0,stripes,6.0,relevant,6.0
39,accommodate,stripes,feet,E,F,Yes,6.0,6.0,stripes,6.0,relevant,6.0
40,accommodate,stripes,feet,E,F,Yes,6.0,5.0,stripes,0.0,relevant,0.0
41,accommodate,stripes,feet,E,F,Yes,7.0,7.0,stripes,6.0,relevant,6.0
42,accommodate,stripes,feet,E,F,Yes,7.0,5.0,stripes,6.0,relevant,6.0
43,predict,stripes,feet,W,C,No,7.0,7.0,stripes,5.0,relevant,5.0
44,predict,feet,stripes,E,C,No,3.0,3.0,stripes,0.0,irrelevant,0.0
45,predict,feet,stripes,W,C,No,6.0,5.0,stripes,0.0,irrelevant,0.0
46,predict,stripes,feet,W,F,No,4.0,6.0,stripes,-5.0,relevant,5.0
47,predict,feet,stripes,W,C,Yes,4.0,6.0,stripes,0.0,irrelevant,0.0
48,predict,stripes,feet,E,F,No,3.0,5.0,stripes,-4.0,relevant,4.0
49,predict,feet,stripes,W,F,No,2.0,6.0,stripes,0.0,irrelevant,0.0
50,predict,feet,stripes,E,C,Yes,7.0,7.0,stripes,7.0,irrelevant,7.0
51,predict,feet,stripes,E,F,Yes,1.0,7.0,stripes,6.0,irrelevant,6.0
52,predict,feet,stripes,W,C,Yes,6.0,4.0,stripes,-5.0,irrelevant,5.0
53,predict,stripes,feet,W,C,Yes,3.0,5.0,stripes,3.0,relevant,3.0
54,predict,stripes,feet,E,C,Yes,2.0,7.0,stripes,0.0,relevant,0.0
55,predict,stripes,feet,E,F,Yes,5.0,7.0,stripes,6.0,relevant,6.0
56,predict,stripes,feet,W,F,Yes,5.0,3.0,stripes,0.0,relevant,0.0
57,predict,stripes,feet,W,C,Yes,1.0,7.0,stripes,6.0,relevant,6.0
58,predict,feet,stripes,E,F,Yes,5.0,4.0,stripes,0.0,irrelevant,0.0
59,predict,stripes,feet,E,F,Yes,7.0,7.0,stripes,-5.0,relevant,5.0
60,predict,feet,stripes,E,F,No,5.0,6.0,stripes,6.0,irrelevant,6.0
61,predict,stripes,feet,W,F,No,6.0,5.0,stripes,6.0,relevant,6.0
62,predict,stripes,feet,E,C,Yes,4.0,5.0,stripes,0.0,relevant,0.0
63,predict,feet,stripes,W,F,Yes,2.0,5.0,stripes,2.0,irrelevant,2.0
64,predict,stripes,feet,E,C,No,7.0,3.0,stripes,0.0,relevant,0.0
65,predict,stripes,feet,W,F,Yes,5.0,5.0,stripes,0.0,relevant,0.0
66,predict,feet,stripes,E,F,Yes,5.0,7.0,stripes,3.0,irrelevant,3.0
67,predict,feet,stripes,W,F,Yes,1.0,7.0,stripes,0.0,irrelevant,0.0
68,predict,feet,stripes,E,C,Yes,1.0,5.0,stripes,0.0,irrelevant,0.0
69,predict,stripes,feet,E,C,Yes,4.0,5.0,stripes,0.0,relevant,0.0
70,predict,stripes,feet,W,F,Yes,6.0,7.0,stripes,0.0,relevant,0.0
71,predict,stripes,feet,E,F,No,7.0,7.0,stripes,0.0,relevant,0.0
72,predict,feet,stripes,E,F,No,7.0,7.0,stripes,-6.0,irrelevant,6.0
73,predict,feet,stripes,W,F,Yes,6.0,4.0,stripes,7.0,irrelevant,7.0
74,predict,feet,stripes,E,F,Yes,1.0,4.0,stripes,-3.0,irrelevant,3.0
75,predict,stripes,feet,W,C,No,6.0,5.0,stripes,0.0,relevant,0.0
76,predict,feet,stripes,W,C,No,4.0,5.0,stripes,0.0,irrelevant,0.0
77,predict,feet,stripes,W,C,No,1.0,7.0,stripes,5.0,irrelevant,5.0
78,predict,stripes,feet,E,F,Yes,3.0,3.0,stripes,0.0,relevant,0.0
79,predict,feet,stripes,W,C,Yes,5.0,6.0,stripes,6.0,irrelevant,6.0
80,predict,stripes,feet,E,C,No,1.0,7.0,stripes,7.0,relevant,7.0
81,predict,stripes,feet,W,C,Yes,5.0,4.0,stripes,5.0,relevant,5.0
82,predict,stripes,feet,W,C,Yes,4.0,6.0,stripes,0.0,relevant,0.0
83,predict,feet,stripes,E,C,Yes,5.0,4.0,stripes,-4.0,irrelevant,4.0
