consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.588,1073.8599,1,[95.27359999999953],[95.27359999999953],for that time of day that was the amount of food he was suppose to have as part of his diet,1073.8601,1074.3589,0,11,11,11,1,T,Y,C,T_Y_C.png,training,2,12,5,medium,color,tail,shape,B,Y,T,N,H2,L1,I1,C,S,128,5_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074.3645,1109.2396,1,[31.879600000000437],[31.879600000000437],for that time of day that was the amount of food the sperk was suppose to eat,1109.2397,1109.739,0,12,12,12,1,N,Y,S,N_Y_S.png,training,2,13,4,low,color,tail,shape,B,Y,T,N,L2,L1,I2,C,S,128,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.743,1138.4372,1,[25.69670000000019],[25.69670000000019],that was the amount of food given to him at that time,1138.4374,1138.9354,0,13,13,13,1,N,B,S,N_B_S.png,training,2,14,3,medium,color,tail,shape,B,Y,T,N,L2,H1,I2,C,S,128,3_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138.9413,1167.8344,1,[25.898500000000013],[25.898500000000013],that was the amount of food that was given to the sperk at that time,1167.8346,1168.3324,0,14,14,14,1,T,Y,S,T_Y_S.png,training,2,15,4,medium,color,tail,shape,B,Y,T,N,H2,L1,I2,C,S,128,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.3377,1190.3811,1,[19.04820000000018],[19.04820000000018],that was the amount of food given to the sperk at that time of day,1190.3813,1190.8795,0,15,15,15,1,N,B,C,N_B_C.png,training,2,16,3,medium,color,tail,shape,B,Y,T,N,L2,H1,I1,C,S,128,3_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.8827,1216.145,1,[22.26360000000045],[22.26360000000045],that was the amount of food given to him at that time of day,1216.1452,1216.6435,0,16,16,16,1,T,B,S,T_B_S.png,training,3,17,4,high,color,tail,shape,B,Y,T,N,H2,H1,I2,C,S,128,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.6489,1242.5257,1,[22.88070000000016],[22.88070000000016],that was the amount of food given to the sperk at that time of day,1242.5258,1243.0239,0,17,17,17,1,N,B,S,N_B_S.png,training,3,18,5,medium,color,tail,shape,B,Y,T,N,L2,H1,I2,C,S,128,5_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.0283,1270.6894,1,[24.663999999999987],[24.663999999999987],that was the amount of food given to the sperk at that time of day,1270.6896,1271.1877,0,18,18,18,1,N,Y,S,N_Y_S.png,training,3,19,3,low,color,tail,shape,B,Y,T,N,L2,L1,I2,C,S,128,3_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.1904,1309.4694,1,[35.2795000000001],[35.2795000000001],that was the amount of food given to the sperk at that time of day,1309.4697,1309.9671,0,19,19,19,1,T,B,C,T_B_C.png,training,3,20,9,high,color,tail,shape,B,Y,T,N,H2,H1,I1,C,S,128,9_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2026-01-12_12h40.07.638,explain2,2025.1.1,Linux x86_64,59.88023952,67f137a8964c967774fb9ea1,69653ec67aeed6b1043c5c09,69654dd1435c1f1136e6af67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.9728,1354.6643,1,[41.69589999999948],[41.69589999999948],that was the amount of food given to the sperk at that time of day,1354.6644,1355.163,0,20,20,20,1,T,Y,C,T_Y_C.png,training,3,21,7,medium,color,tail,shape,B,Y,T,N,H2,L1,I1,C,S,128,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","medium,high,medium,low,medium,medium,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
