consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.2276,332.7399,1,[10.51619999980926],[10.51619999980926],it has a curly tail,332.7401,333.2385,0,0,0,0,1,T,B,C,T_B_C.png,training,1,1,3,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,S,C,78,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.2403,342.9439,1,[6.72179999971388],[6.72179999971388],it is blue,342.9439,343.4386,0,1,1,1,1,T,B,S,T_B_S.png,training,1,2,4,medium,tail,color,shape,N,T,B,Y,L1,H2,I1,S,C,78,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.4405,363.1895,1,[16.7665999999046],[16.7665999999046],it has a straight tail,363.1897,363.6931,0,2,2,2,1,N,B,C,N_B_C.png,training,1,3,7,high,tail,color,shape,N,T,B,Y,H1,H2,I2,S,C,78,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.6953,373.1385,1,[6.449900000095454],[6.449900000095454],straight tail,373.1385,373.6383,0,3,3,3,1,N,Y,C,N_Y_C.png,training,1,4,5,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,S,C,78,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.6399,382.8102,1,[6.171400000095332],[6.171400000095332],curly tail,382.8102,383.3047,0,4,4,4,1,T,Y,S,T_Y_S.png,training,1,5,2,low,tail,color,shape,N,T,B,Y,L1,L2,I1,S,C,78,2_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.3063,392.2261,1,[5.938100000381496],[5.938100000381496],curly tail,392.2262,392.7216,0,5,5,5,1,T,Y,C,T_Y_C.png,training,1,6,3,low,tail,color,shape,N,T,B,Y,L1,L2,I2,S,C,78,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.7234,399.2266,1,[3.505099999904701],[3.505099999904701],straight tail,399.2267,399.726,0,6,6,6,1,N,B,S,N_B_S.png,training,1,7,6,high,tail,color,shape,N,T,B,Y,H1,H2,I1,S,C,78,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.7278,411.2929,1,[8.571500000000015],[8.571500000000015],yellow and straight tail,411.293,411.7876,0,7,7,7,1,N,Y,S,N_Y_S.png,training,1,8,7,medium,tail,color,shape,N,T,B,Y,H1,L2,I1,S,C,78,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.789,419.5609,1,[4.77269999980922],[4.77269999980922],it is blue,419.5609,420.0545,0,8,8,8,1,T,B,C,T_B_C.png,training,2,9,5,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,S,C,78,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,078,2026-01-12_11h56.55.438,explain2,2025.1.1,Win32,60.60606061,66ba25f31c96638d878c9235,69653ec67aeed6b1043c5c09,6965502cee57ea059c0102ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0569,425.6211,1,[2.566500000000019],[2.566500000000019],curly tail,425.6212,426.1209,0,9,9,9,1,T,Y,S,T_Y_S.png,training,2,10,3,low,tail,color,shape,N,T,B,Y,L1,L2,I1,S,C,78,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png","low,medium,medium,medium,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
