consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.364,202.878,1,[6.516999999999996],[6.516999999999996],round blue body,202.879,203.377,0,13,13,13,1,N,B,C,N_B_C.png,training,2,14,7,high,color,shape,tail,B,Y,C,S,I2,H1,H2,T,N,126,7_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.381,208.295,1,[1.9329999999999927],[1.9329999999999927],blue body,208.295,208.794,0,14,14,14,1,T,B,S,T_B_S.png,training,2,15,6,medium,color,shape,tail,B,Y,C,S,I1,H1,L2,T,N,126,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.797,216.727,1,[4.9339999999999975],[4.9339999999999975],yellow body curly tail,216.729,217.227,0,15,15,15,1,T,Y,C,T_Y_C.png,training,2,16,6,medium,color,shape,tail,B,Y,C,S,I1,L1,H2,T,N,126,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.23,225.46,1,[5.232000000000028],[5.232000000000028],square body,225.461,225.96,0,16,16,16,1,N,Y,S,N_Y_S.png,training,3,17,1,low,color,shape,tail,B,Y,C,S,I2,L1,L2,T,N,126,1_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.963,237.494,1,[8.533000000000015],[8.533000000000015],square body curly tail,237.495,237.993,0,17,17,17,1,T,B,S,T_B_S.png,training,3,18,3,medium,color,shape,tail,B,Y,C,S,I1,H1,L2,T,N,126,3_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.996,246.094,1,[5.099999999999966],[5.099999999999966],round blue body curly tail,246.095,246.593,0,18,18,18,1,T,B,C,T_B_C.png,training,3,19,5,high,color,shape,tail,B,Y,C,S,I1,H1,H2,T,N,126,5_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.598,252.511,1,[2.91700000000003],[2.91700000000003],straight tail,252.512,253.01,0,19,19,19,1,N,Y,C,N_Y_C.png,training,3,20,3,medium,color,shape,tail,B,Y,C,S,I2,L1,H2,T,N,126,3_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.014,262.476,1,[6.464999999999975],[6.464999999999975],round yellow body curly tail,262.477,262.976,0,20,20,20,1,T,Y,C,T_Y_C.png,training,3,21,6,medium,color,shape,tail,B,Y,C,S,I1,L1,H2,T,N,126,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.979,289.594,1,[23.615999999999985],[23.615999999999985],blue square body,289.594,290.093,0,21,21,21,1,N,B,S,N_B_S.png,training,3,22,6,medium,color,shape,tail,B,Y,C,S,I2,H1,L2,T,N,126,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-01-12_14h55.54.562,explain2,2025.1.1,MacIntel,62.5,66fc681e947d5e7b1267b9bd,69653ec67aeed6b1043c5c09,6965519cfea7245cdef00402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.096,298.577,1,[5.4839999999999804],[5.4839999999999804],blue round body,298.577,299.076,0,22,22,22,1,N,B,C,N_B_C.png,training,3,23,8,high,color,shape,tail,B,Y,C,S,I2,H1,H2,T,N,126,8_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
