consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5939,191.6034,1,[21.016599999904628],[21.016599999904628],Because it has a tail.,191.6035,192.1026,0,0,0,0,1,N,Y,S,N_Y_S.png,training,1,1,10,high,shape,tail,color,S,C,N,T,H2,I2,H1,Y,B,56,10_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.1039,200.82,1,[5.716599999904645],[5.716599999904645],Because of its shape.,200.8201,201.3195,0,1,1,1,1,T,Y,C,T_Y_C.png,training,1,2,6,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,56,6_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.3208,209.1199,1,[4.8002000002860825],[4.8002000002860825],Because of its shape.,209.12,209.6194,0,2,2,2,1,N,Y,C,N_Y_C.png,training,1,3,7,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,56,7_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6205,221.4695,1,[8.849699999809275],[8.849699999809275],Because of its tail and shape.,221.4696,221.9692,0,3,3,3,1,T,Y,S,T_Y_S.png,training,1,4,5,medium,shape,tail,color,S,C,N,T,L2,I2,H1,Y,B,56,5_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.9705,240.1366,1,[15.16690000009541],[15.16690000009541],Because of its shape and color.,240.1366,240.6359,0,4,4,4,1,N,B,S,N_B_S.png,training,1,5,5,high,shape,tail,color,S,C,N,T,H2,I1,H1,Y,B,56,5_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.6371,248.1197,1,[4.483299999713893],[4.483299999713893],Because of its shape and color.,248.1198,248.6193,0,5,5,5,1,T,B,S,T_B_S.png,training,1,6,7,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,56,7_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.6205,254.903,1,[3.283400000095412],[3.283400000095412],Because of its shape and color.,254.903,255.4024,0,6,6,6,1,T,B,C,T_B_C.png,training,1,7,3,low,shape,tail,color,S,C,N,T,L2,I1,L1,Y,B,56,3_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4035,264.5031,1,[6.100099999904614],[6.100099999904614],Because of its tail shape and color.,264.5031,265.0024,0,7,7,7,1,N,B,C,N_B_C.png,training,1,8,6,medium,shape,tail,color,S,C,N,T,H2,I1,L1,Y,B,56,6_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0036,274.5531,1,[6.550199999809308],[6.550199999809308],Because of its shape tail and color.,274.5533,275.0525,0,8,8,8,1,N,Y,C,N_Y_C.png,training,2,9,5,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,56,5_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,056,2026-01-13_10h27.08.871,explain2,2025.1.1,Win32,60.24096386,66644b493ad8e4efaadd70ef,69666691f3d4a339ca4a3b6c,69667238f8048e6383329482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0538,286.2863,1,[8.2334000000954],[8.2334000000954],Because of its shape tail and color. ,286.2864,286.786,0,9,9,9,1,T,Y,C,T_Y_C.png,training,2,10,4,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,56,4_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,high,medium,high,medium,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
