,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.18771824470096468,0.46138003963825486,0.40686251804075707,0.6844030057114988,-0.7202826227845336,1.095719112186463
task[T.predict],0.16872400524899164,0.6524899094646563,0.258584849821545,0.7961352903682174,-1.1153831361955358,1.4528311466935189
high_minus_low,0.9714196748292931,0.8119206208966526,1.1964466104537363,0.23247976939249057,-0.6264488170143205,2.569288166672907
high_minus_low:task[T.predict],0.07028313427192875,1.148229153642431,0.061210024191578366,0.9512332548013053,-2.189444157781954,2.3300104263258112
