consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,683.8698,890.0886,1,[203.2305],[203.2305],"The upper right to lower left diagonal stripes strongly influence higher fertility, but the curved feet have lowered it slightly.",890.0888,891.0908,0,4,4,4,1,C,E,E_C.png,training,2,5,7,high,stripes,feet,E,W,F,C,4,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,891.0936,1321.9913,1,[427.9099000000955],[427.9099000000955],Diagonal stripes and webbed feet are not necessarily cause for fertility increase or decrease since there is not consistent correlation ,1321.9917,1322.9933,0,5,5,5,1,F,E,E_F.png,training,2,6,4,high,stripes,feet,E,W,F,C,4,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,1322.9966,1421.9533,1,[95.96900000000005],[95.96900000000005],It is possible that the upper left to lower right stripes with web feet have a correlation to lower fertility,1421.9536,1422.9545,0,6,6,6,1,F,W,W_F.png,training,2,7,3,low,stripes,feet,E,W,F,C,4,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,1422.9559,1514.2804,1,[88.33479999995211],[88.33479999995211],"It is likely that there is a relation between upper left to lower right stripes, regardless of foot type, correlates to lower fertility",1514.2805,1515.282,0,7,7,7,1,C,W,W_C.png,training,2,8,3,low,stripes,feet,E,W,F,C,4,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.2825,1523.9854,1,[5.713099999904443],[5.713099999904443],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,W,W_F.png,training,1,1,5,low,stripes,feet,E,W,F,C,4,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,1523.9961,1619.6702,"[4,3,7,7]",1,[3.6580999999048345],[3.6580999999048345],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.6719,1640.9024,,,No,20.0101,,,1,[1.236199999809287],[1.236199999809287],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.9045,1682.7811,5,36.9395,Yes,10.8613,1,29.2742,1,[4.94459999990454],[4.94459999990454],0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png, Up/Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.7815,1688.6951,0,[],[],0,[],[],1,[3.9257999999522326],[3.9257999999522326],0,[],[],,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.6957,1721.8035,4,19.7716,5,31.9817,1,[1.1192000000476128],[1.1192000000476128],,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721.8037,1731.5101,,1,[8.714499999999816],[8.714499999999816],
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
