consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,160.786,179.4352,1,[15.666900000005938],[15.666900000005938],"This one had a very high score, due to left stripes",179.4353,180.4344,0,4,4,4,1,F,W,W_F.png,training,2,5,10,high,feet,stripes,F,C,E,W,23,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,180.4362,198.0517,1,[14.616700000017858],[14.616700000017858],"This one had a low score, even with left stripes.",198.0518,199.0513,0,5,5,5,1,C,W,W_C.png,training,2,6,3,low,feet,stripes,F,C,E,W,23,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,199.0535,229.3351,1,[27.283300000011906],[27.283300000011906],This reptile had a high score.  Direction of stripes does not have any correlation to their score.,229.3351,230.3346,0,6,6,6,1,F,E,E_F.png,training,2,7,9,high,feet,stripes,F,C,E,W,23,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,230.3364,246.1524,1,[12.816900000005944],[12.816900000005944],This one had a high score with right stripes,246.1525,247.1508,0,7,7,7,1,C,E,E_C.png,training,2,8,10,low,feet,stripes,F,C,E,W,23,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.1515,251.2347,1,[1.100500000000011],[1.100500000000011],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,E,E_F.png,training,1,1,5,high,feet,stripes,F,C,E,W,23,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,251.2536,283.6689,"[9,7,8,5]",1,[6],[6],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.672,292.568,,,No,5.8217,,,1,[3.082499999999982],[3.082599999994045],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.571,307.2185,5,13.5401,Yes,2.8416,1,7.3233,1,[1.1166000000238796],[1.1166000000238796],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png, Curved/Pointy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.2193,312.7856,0,[],[],0,[],[],1,[3.567599999994002],[3.567599999994002],0,[],[],,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.7863,325.885,6,9.4248,6,11.541,1,[1.5491999999881045],[1.5491999999881045],,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.8853,331.3871,,1,[4.500400000005925],[4.500400000005925],
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
