feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,2,low,color,feet,Y,G,F,C,4,2_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,1,2,7,high,color,feet,Y,G,F,C,4,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,1,3,4,low,color,feet,Y,G,F,C,4,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,4,8,high,color,feet,Y,G,F,C,4,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,5,8,high,color,feet,Y,G,F,C,4,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,2,6,6,low,color,feet,Y,G,F,C,4,6_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,7,7,high,color,feet,Y,G,F,C,4,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,2,8,2,low,color,feet,Y,G,F,C,4,2_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,9,4,high,color,feet,Y,G,F,C,4,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,7,high,color,feet,Y,G,F,C,4,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,3,11,2,low,color,feet,Y,G,F,C,4,2_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,3,12,4,low,color,feet,Y,G,F,C,4,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,13,10,high,color,feet,Y,G,F,C,4,10_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,14,7,high,color,feet,Y,G,F,C,4,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,4,15,3,low,color,feet,Y,G,F,C,4,3_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,4,16,1,low,color,feet,Y,G,F,C,4,1_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
