feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,5,low,feet,color,C,F,G,Y,37,5_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,1,2,1,low,feet,color,C,F,G,Y,37,1_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,1,3,8,high,feet,color,C,F,G,Y,37,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,1,4,4,high,feet,color,C,F,G,Y,37,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,5,7,high,feet,color,C,F,G,Y,37,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,2,6,7,high,feet,color,C,F,G,Y,37,7_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,2,7,4,low,feet,color,C,F,G,Y,37,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,3,low,feet,color,C,F,G,Y,37,3_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,3,9,10,high,feet,color,C,F,G,Y,37,10_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,10,8,high,feet,color,C,F,G,Y,37,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,3,11,4,low,feet,color,C,F,G,Y,37,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,12,2,low,feet,color,C,F,G,Y,37,2_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,4,13,4,low,feet,color,C,F,G,Y,37,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,14,4,low,feet,color,C,F,G,Y,37,4_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,4,15,8,high,feet,color,C,F,G,Y,37,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,16,8,high,feet,color,C,F,G,Y,37,8_food.png,"Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high"
