feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,8,high,color,feet,G,Y,C,F,6,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,1,2,8,high,color,feet,G,Y,C,F,6,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,1,3,5,low,color,feet,G,Y,C,F,6,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,1,4,5,low,color,feet,G,Y,C,F,6,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,2,5,6,high,color,feet,G,Y,C,F,6,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,2,6,6,low,color,feet,G,Y,C,F,6,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,2,7,6,low,color,feet,G,Y,C,F,6,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,2,8,9,high,color,feet,G,Y,C,F,6,9_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,3,9,5,low,color,feet,G,Y,C,F,6,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,3,10,7,high,color,feet,G,Y,C,F,6,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,3,11,2,low,color,feet,G,Y,C,F,6,2_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,3,12,7,high,color,feet,G,Y,C,F,6,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,4,13,10,high,color,feet,G,Y,C,F,6,10_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,4,14,6,high,color,feet,G,Y,C,F,6,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,4,15,3,low,color,feet,G,Y,C,F,6,3_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,4,16,5,low,color,feet,G,Y,C,F,6,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,low,high,high"
