feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,4,low,feet,color,C,F,Y,G,5,4_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,1,2,10,high,feet,color,C,F,Y,G,5,10_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,1,3,7,low,feet,color,C,F,Y,G,5,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,1,4,8,high,feet,color,C,F,Y,G,5,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,2,5,7,high,feet,color,C,F,Y,G,5,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,2,6,1,low,feet,color,C,F,Y,G,5,1_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,2,7,4,low,feet,color,C,F,Y,G,5,4_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,2,8,6,high,feet,color,C,F,Y,G,5,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,3,9,6,low,feet,color,C,F,Y,G,5,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,3,10,4,high,feet,color,C,F,Y,G,5,4_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,3,11,2,low,feet,color,C,F,Y,G,5,2_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,3,12,8,high,feet,color,C,F,Y,G,5,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,4,13,6,low,feet,color,C,F,Y,G,5,6_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,4,14,10,high,feet,color,C,F,Y,G,5,10_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,4,15,8,high,feet,color,C,F,Y,G,5,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,4,16,5,low,feet,color,C,F,Y,G,5,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high"
