feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,10,high,feet,color,F,C,G,Y,31,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,2,6,high,feet,color,F,C,G,Y,31,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,1,3,6,low,feet,color,F,C,G,Y,31,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,1,4,4,low,feet,color,F,C,G,Y,31,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,2,5,2,low,feet,color,F,C,G,Y,31,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,2,6,8,high,feet,color,F,C,G,Y,31,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,7,4,high,feet,color,F,C,G,Y,31,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,8,4,low,feet,color,F,C,G,Y,31,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,10,high,feet,color,F,C,G,Y,31,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,3,10,5,low,feet,color,F,C,G,Y,31,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,3,low,feet,color,F,C,G,Y,31,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,3,12,10,high,feet,color,F,C,G,Y,31,10_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,4,13,6,high,feet,color,F,C,G,Y,31,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,4,14,8,low,feet,color,F,C,G,Y,31,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,2,low,feet,color,F,C,G,Y,31,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,7,high,feet,color,F,C,G,Y,31,7_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
