feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,4,low,feet,color,F,C,G,Y,11,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,1,2,3,high,feet,color,F,C,G,Y,11,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,1,3,1,low,feet,color,F,C,G,Y,11,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,4,5,high,feet,color,F,C,G,Y,11,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,2,5,8,high,feet,color,F,C,G,Y,11,8_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,6,5,low,feet,color,F,C,G,Y,11,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,2,7,7,low,feet,color,F,C,G,Y,11,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,6,high,feet,color,F,C,G,Y,11,6_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,9,1,low,feet,color,F,C,G,Y,11,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,3,10,7,high,feet,color,F,C,G,Y,11,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,3,11,5,low,feet,color,F,C,G,Y,11,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,12,5,high,feet,color,F,C,G,Y,11,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,4,13,9,high,feet,color,F,C,G,Y,11,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,4,14,4,low,feet,color,F,C,G,Y,11,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,15,2,high,feet,color,F,C,G,Y,11,2_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,16,4,low,feet,color,F,C,G,Y,11,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,low,low,high"
