feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,3,low,feet,color,C,F,G,Y,21,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,Y,Y_C.png,training,1,2,6,high,feet,color,C,F,G,Y,21,6_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,G,G_F.png,training,1,3,5,low,feet,color,C,F,G,Y,21,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,G,G_C.png,training,1,4,7,high,feet,color,C,F,G,Y,21,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,Y,Y_F.png,training,2,5,2,low,feet,color,C,F,G,Y,21,2_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,G,G_C.png,training,2,6,9,high,feet,color,C,F,G,Y,21,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,G,G_F.png,training,2,7,4,low,feet,color,C,F,G,Y,21,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,Y,Y_C.png,training,2,8,4,high,feet,color,C,F,G,Y,21,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,G,G_F.png,training,3,9,3,low,feet,color,C,F,G,Y,21,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,Y,Y_C.png,training,3,10,5,high,feet,color,C,F,G,Y,21,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,G,G_C.png,training,3,11,10,high,feet,color,C,F,G,Y,21,10_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,Y,Y_F.png,training,3,12,5,low,feet,color,C,F,G,Y,21,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,Y,Y_C.png,training,4,13,7,high,feet,color,C,F,G,Y,21,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,G,G_F.png,training,4,14,3,low,feet,color,C,F,G,Y,21,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
F,Y,Y_F.png,training,4,15,3,low,feet,color,C,F,G,Y,21,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
C,G,G_C.png,training,4,16,7,high,feet,color,C,F,G,Y,21,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","low,high,low,high"
