feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,7,low,feet,color,C,F,Y,G,17,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,1,2,10,high,feet,color,C,F,Y,G,17,10_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,1,3,5,high,feet,color,C,F,Y,G,17,5_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,1,4,3,low,feet,color,C,F,Y,G,17,3_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,2,5,9,low,feet,color,C,F,Y,G,17,9_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,2,6,10,high,feet,color,C,F,Y,G,17,10_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,2,7,8,high,feet,color,C,F,Y,G,17,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,2,8,7,low,feet,color,C,F,Y,G,17,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,3,9,9,high,feet,color,C,F,Y,G,17,9_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,3,10,1,low,feet,color,C,F,Y,G,17,1_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,3,11,8,high,feet,color,C,F,Y,G,17,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,3,12,7,low,feet,color,C,F,Y,G,17,7_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,Y,Y_C.png,training,4,13,8,high,feet,color,C,F,Y,G,17,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,Y,Y_F.png,training,4,14,4,low,feet,color,C,F,Y,G,17,4_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
C,G,G_C.png,training,4,15,8,high,feet,color,C,F,Y,G,17,8_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
F,G,G_F.png,training,4,16,4,low,feet,color,C,F,Y,G,17,4_food.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low"
