feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,10,high,feet,color,C,F,Y,G,13,10_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,Y,Y_C.png,training,1,2,9,high,feet,color,C,F,Y,G,13,9_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,Y,Y_F.png,training,1,3,6,low,feet,color,C,F,Y,G,13,6_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,G,G_F.png,training,1,4,1,low,feet,color,C,F,Y,G,13,1_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,Y,Y_F.png,training,2,5,2,low,feet,color,C,F,Y,G,13,2_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,G,G_C.png,training,2,6,9,high,feet,color,C,F,Y,G,13,9_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,G,G_F.png,training,2,7,3,low,feet,color,C,F,Y,G,13,3_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,Y,Y_C.png,training,2,8,10,high,feet,color,C,F,Y,G,13,10_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,G,G_C.png,training,3,9,6,high,feet,color,C,F,Y,G,13,6_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,G,G_F.png,training,3,10,2,low,feet,color,C,F,Y,G,13,2_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,Y,Y_C.png,training,3,11,7,high,feet,color,C,F,Y,G,13,7_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,Y,Y_F.png,training,3,12,1,low,feet,color,C,F,Y,G,13,1_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,G,G_C.png,training,4,13,10,high,feet,color,C,F,Y,G,13,10_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,G,G_F.png,training,4,14,2,low,feet,color,C,F,Y,G,13,2_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
F,Y,Y_F.png,training,4,15,4,low,feet,color,C,F,Y,G,13,4_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
C,Y,Y_C.png,training,4,16,9,high,feet,color,C,F,Y,G,13,9_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png","high,low,high,low"
