feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,7,high,feet,color,F,C,G,Y,27,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,1,2,7,low,feet,color,F,C,G,Y,27,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,1,3,4,high,feet,color,F,C,G,Y,27,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,4,3,low,feet,color,F,C,G,Y,27,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,5,9,high,feet,color,F,C,G,Y,27,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,2,6,5,high,feet,color,F,C,G,Y,27,5_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,2,7,4,low,feet,color,F,C,G,Y,27,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,8,4,low,feet,color,F,C,G,Y,27,4_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,9,2,low,feet,color,F,C,G,Y,27,2_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,9,high,feet,color,F,C,G,Y,27,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,3,11,9,high,feet,color,F,C,G,Y,27,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,3,12,1,low,feet,color,F,C,G,Y,27,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,13,7,high,feet,color,F,C,G,Y,27,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,4,14,7,high,feet,color,F,C,G,Y,27,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,4,15,6,low,feet,color,F,C,G,Y,27,6_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,16,1,low,feet,color,F,C,G,Y,27,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png,Resources/Y_C.png","high,low,high,low"
