feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,8,high,feet,color,C,F,G,Y,9,8_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,1,2,3,low,feet,color,C,F,G,Y,9,3_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,1,3,10,high,feet,color,C,F,G,Y,9,10_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,1,4,4,low,feet,color,C,F,G,Y,9,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,2,5,1,low,feet,color,C,F,G,Y,9,1_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,2,6,4,low,feet,color,C,F,G,Y,9,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,2,7,9,high,feet,color,C,F,G,Y,9,9_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,2,8,8,high,feet,color,C,F,G,Y,9,8_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,3,9,6,high,feet,color,C,F,G,Y,9,6_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,3,10,6,low,feet,color,C,F,G,Y,9,6_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,3,11,10,high,feet,color,C,F,G,Y,9,10_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,3,12,4,low,feet,color,C,F,G,Y,9,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,4,13,3,low,feet,color,C,F,G,Y,9,3_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,4,14,8,high,feet,color,C,F,G,Y,9,8_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,4,15,5,high,feet,color,C,F,G,Y,9,5_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,4,16,5,low,feet,color,C,F,G,Y,9,5_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
