feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,8,high,color,feet,G,Y,C,F,34,8_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,Y,Y_F.png,training,1,2,1,low,color,feet,G,Y,C,F,34,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,G,G_C.png,training,1,3,10,high,color,feet,G,Y,C,F,34,10_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,Y,Y_C.png,training,1,4,3,low,color,feet,G,Y,C,F,34,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,Y,Y_C.png,training,2,5,1,low,color,feet,G,Y,C,F,34,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,G,G_F.png,training,2,6,6,high,color,feet,G,Y,C,F,34,6_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,Y,Y_F.png,training,2,7,3,low,color,feet,G,Y,C,F,34,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,G,G_C.png,training,2,8,10,high,color,feet,G,Y,C,F,34,10_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,G,G_F.png,training,3,9,9,high,color,feet,G,Y,C,F,34,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,Y,Y_F.png,training,3,10,2,low,color,feet,G,Y,C,F,34,2_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,Y,Y_C.png,training,3,11,1,low,color,feet,G,Y,C,F,34,1_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,G,G_C.png,training,3,12,9,high,color,feet,G,Y,C,F,34,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,Y,Y_F.png,training,4,13,3,low,color,feet,G,Y,C,F,34,3_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,Y,Y_C.png,training,4,14,6,low,color,feet,G,Y,C,F,34,6_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
C,G,G_C.png,training,4,15,9,high,color,feet,G,Y,C,F,34,9_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
F,G,G_F.png,training,4,16,7,high,color,feet,G,Y,C,F,34,7_food.png,"Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png","high,high,low,low"
