feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,5,high,feet,color,F,C,Y,G,15,5_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,1,2,7,high,feet,color,F,C,Y,G,15,7_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,1,3,4,low,feet,color,F,C,Y,G,15,4_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,4,1,low,feet,color,F,C,Y,G,15,1_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,5,4,low,feet,color,F,C,Y,G,15,4_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,2,6,8,high,feet,color,F,C,Y,G,15,8_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,7,9,high,feet,color,F,C,Y,G,15,9_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,2,8,4,low,feet,color,F,C,Y,G,15,4_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,9,4,low,feet,color,F,C,Y,G,15,4_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,9,high,feet,color,F,C,Y,G,15,9_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,3,11,8,high,feet,color,F,C,Y,G,15,8_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,3,12,1,low,feet,color,F,C,Y,G,15,1_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,13,3,low,feet,color,F,C,Y,G,15,3_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,4,14,1,low,feet,color,F,C,Y,G,15,1_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,15,8,high,feet,color,F,C,Y,G,15,8_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,4,16,9,high,feet,color,F,C,Y,G,15,9_food.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,high,low"
