feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,6,high,feet,color,F,C,Y,G,7,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,1,2,5,low,feet,color,F,C,Y,G,7,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,3,9,high,feet,color,F,C,Y,G,7,9_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,1,4,2,low,feet,color,F,C,Y,G,7,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,5,5,low,feet,color,F,C,Y,G,7,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,2,6,6,high,feet,color,F,C,Y,G,7,6_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,2,7,1,low,feet,color,F,C,Y,G,7,1_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,8,high,feet,color,F,C,Y,G,7,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,3,9,8,high,feet,color,F,C,Y,G,7,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,10,3,low,feet,color,F,C,Y,G,7,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,11,8,high,feet,color,F,C,Y,G,7,8_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,3,12,2,low,feet,color,F,C,Y,G,7,2_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,13,5,high,feet,color,F,C,Y,G,7,5_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
F,G,G_F.png,training,4,14,4,high,feet,color,F,C,Y,G,7,4_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,7,low,feet,color,F,C,Y,G,7,7_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
C,G,G_C.png,training,4,16,3,low,feet,color,F,C,Y,G,7,3_food.png,"Resources/Y_F.png,Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png","high,low,low,high"
