feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,7,low,color,feet,Y,G,C,F,24,7_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,2,8,high,color,feet,Y,G,C,F,24,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,1,3,2,low,color,feet,Y,G,C,F,24,2_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,1,4,4,high,color,feet,Y,G,C,F,24,4_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,2,5,2,low,color,feet,Y,G,C,F,24,2_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,6,8,high,color,feet,Y,G,C,F,24,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,2,7,3,low,color,feet,Y,G,C,F,24,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,8,6,high,color,feet,Y,G,C,F,24,6_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,3,9,2,low,color,feet,Y,G,C,F,24,2_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,7,high,color,feet,Y,G,C,F,24,7_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,3,11,3,low,color,feet,Y,G,C,F,24,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,12,9,high,color,feet,Y,G,C,F,24,9_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,G,G_F.png,training,4,13,3,low,color,feet,Y,G,C,F,24,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,14,4,high,color,feet,Y,G,C,F,24,4_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
C,G,G_C.png,training,4,15,4,low,color,feet,Y,G,C,F,24,4_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,16,7,high,color,feet,Y,G,C,F,24,7_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,high,low"
