feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,5,low,color,feet,G,Y,F,C,14,5_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,1,2,4,low,color,feet,G,Y,F,C,14,4_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,1,3,6,high,color,feet,G,Y,F,C,14,6_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,1,4,5,high,color,feet,G,Y,F,C,14,5_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,2,5,4,low,color,feet,G,Y,F,C,14,4_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,2,6,5,high,color,feet,G,Y,F,C,14,5_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,2,7,9,high,color,feet,G,Y,F,C,14,9_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,2,8,2,low,color,feet,G,Y,F,C,14,2_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,3,9,7,high,color,feet,G,Y,F,C,14,7_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,3,10,8,low,color,feet,G,Y,F,C,14,8_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,3,11,5,high,color,feet,G,Y,F,C,14,5_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,3,12,5,low,color,feet,G,Y,F,C,14,5_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,4,13,6,low,color,feet,G,Y,F,C,14,6_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,4,14,7,high,color,feet,G,Y,F,C,14,7_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,4,15,7,high,color,feet,G,Y,F,C,14,7_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,4,16,3,low,color,feet,G,Y,F,C,14,3_food.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","high,high,low,low"
