feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,1,low,color,feet,G,Y,F,C,30,1_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,1,2,7,high,color,feet,G,Y,F,C,30,7_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,1,3,8,high,color,feet,G,Y,F,C,30,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,1,4,2,low,color,feet,G,Y,F,C,30,2_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,2,5,6,high,color,feet,G,Y,F,C,30,6_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,2,6,1,low,color,feet,G,Y,F,C,30,1_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,2,7,3,low,color,feet,G,Y,F,C,30,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,2,8,8,high,color,feet,G,Y,F,C,30,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,3,9,3,low,color,feet,G,Y,F,C,30,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,3,10,5,low,color,feet,G,Y,F,C,30,5_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,3,11,8,high,color,feet,G,Y,F,C,30,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,3,12,7,high,color,feet,G,Y,F,C,30,7_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,Y,Y_C.png,training,4,13,3,low,color,feet,G,Y,F,C,30,3_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
C,G,G_C.png,training,4,14,5,high,color,feet,G,Y,F,C,30,5_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,G,G_F.png,training,4,15,8,high,color,feet,G,Y,F,C,30,8_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
F,Y,Y_F.png,training,4,16,4,low,color,feet,G,Y,F,C,30,4_food.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high"
