feet,color,image_file,phase,rep,trial_num,food_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,6,low,feet,color,F,C,G,Y,35,6_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,Y,Y_C.png,training,1,2,4,low,feet,color,F,C,G,Y,35,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,Y,Y_F.png,training,1,3,8,high,feet,color,F,C,G,Y,35,8_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,G,G_F.png,training,1,4,6,high,feet,color,F,C,G,Y,35,6_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,Y,Y_C.png,training,2,5,3,low,feet,color,F,C,G,Y,35,3_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,Y,Y_F.png,training,2,6,9,high,feet,color,F,C,G,Y,35,9_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,G,G_F.png,training,2,7,10,high,feet,color,F,C,G,Y,35,10_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,G,G_C.png,training,2,8,4,low,feet,color,F,C,G,Y,35,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,G,G_F.png,training,3,9,6,high,feet,color,F,C,G,Y,35,6_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,Y,Y_F.png,training,3,10,9,high,feet,color,F,C,G,Y,35,9_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,Y,Y_C.png,training,3,11,1,low,feet,color,F,C,G,Y,35,1_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,G,G_C.png,training,3,12,4,low,feet,color,F,C,G,Y,35,4_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,G,G_C.png,training,4,13,7,low,feet,color,F,C,G,Y,35,7_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,G,G_F.png,training,4,14,10,high,feet,color,F,C,G,Y,35,10_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
F,Y,Y_F.png,training,4,15,8,high,feet,color,F,C,G,Y,35,8_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
C,Y,Y_C.png,training,4,16,1,low,feet,color,F,C,G,Y,35,1_food.png,"Resources/G_C.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png","low,low,high,high"
