consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,5.638,5.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,5.64,14.057,1,[5.422000000000001],[5.422000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,14.058,26.497,1,[9.441000000000006],[9.441000000000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,26.505,43.182,Yes,10.277,Yes,8.259,Yes,9.677,No,16.079,1,[6.415999999999997],[6.415999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,43.184,47.471,1,[1.3029999999999973],[1.3029999999999973],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.473,50.54,Any of These,2.431,1,[0.6539999999999964],[0.6539999999999964],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.541,54.242,1,[0.7040000000000006],[0.7040000000000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.243,74.019,1,[16.778999999999996],[16.778999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.019,84.535,1,[7.52000000000001],[7.52000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.551,101.08,1,[13.524000000000001],[13.524000000000001],Due to color and body shape ,101.081,101.57,0,0,0,0,1,N,B,S,N_B_S.png,training,1,1,5,high,color,tail,shape,B,Y,N,T,H2,H1,I2,C,S,6,5_food.png,"Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,low,high,high,low,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.577,113.361,1,[8.789999999999992],[8.789999999999992],Color body shape and eye color ,113.362,113.856,0,1,1,1,1,T,Y,C,T_Y_C.png,training,1,2,3,low,color,tail,shape,B,Y,N,T,L2,L1,I1,C,S,6,3_food.png,"Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,low,high,high,low,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-01-01_17h47.09.621,explain2,2025.1.1,iPhone,50,5de83840271a1c7b0fb7ec16,69556fc27ad407f063ed05be,6957076dc9e4a77c377c2e63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.862,122.744,1,[5.887000000000029],[5.887000000000029],"Tail, body shape and color ",122.745,123.24,0,2,2,2,1,T,B,S,T_B_S.png,training,1,3,4,medium,color,tail,shape,B,Y,N,T,L2,H1,I2,C,S,6,4_food.png,"Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png","medium,low,high,high,low,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
