feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,1,low,color,feet,Y,G,F,C,16,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,1,2,8,high,color,feet,Y,G,F,C,16,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,1,3,4,low,color,feet,Y,G,F,C,16,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,1,4,7,high,color,feet,Y,G,F,C,16,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,2,5,6,low,color,feet,Y,G,F,C,16,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,2,6,5,low,color,feet,Y,G,F,C,16,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,2,7,9,high,color,feet,Y,G,F,C,16,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,2,8,9,high,color,feet,Y,G,F,C,16,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,3,9,5,high,color,feet,Y,G,F,C,16,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,3,10,4,low,color,feet,Y,G,F,C,16,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,3,11,5,low,color,feet,Y,G,F,C,16,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,3,12,9,high,color,feet,Y,G,F,C,16,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,G,G_C.png,training,4,13,3,low,color,feet,Y,G,F,C,16,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
C,Y,Y_C.png,training,4,14,6,high,color,feet,Y,G,F,C,16,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,Y,Y_F.png,training,4,15,7,high,color,feet,Y,G,F,C,16,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
F,G,G_F.png,training,4,16,6,low,color,feet,Y,G,F,C,16,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,high,low,low"
