,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.122,0.056,2.181,0.029,0.012,0.231
task[T.predict],-0.065,0.077,-0.845,0.398,-0.215,0.085
wing_relevant[T.1],0.262,0.079,3.328,0.001,0.108,0.416
wing_present[T.1],0.223,0.078,2.847,0.004,0.069,0.376
task[T.predict]:wing_relevant[T.1],-0.040,0.108,-0.373,0.709,-0.252,0.171
task[T.predict]:wing_present[T.1],0.087,0.108,0.811,0.418,-0.124,0.298
wing_relevant[T.1]:wing_present[T.1],0.102,0.110,0.926,0.355,-0.114,0.319
task[T.predict]:wing_relevant[T.1]:wing_present[T.1],-0.073,0.152,-0.479,0.632,-0.371,0.225
Group Var,0.007,0.030,,,,
