,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.419,0.036,11.593,0.000,0.348,0.490
task[T.predict],-0.135,0.048,-2.815,0.005,-0.229,-0.041
wing_relevant[T.1],0.152,0.051,2.977,0.003,0.052,0.251
wing_present[T.1],0.026,0.051,0.505,0.614,-0.074,0.125
task[T.predict]:wing_relevant[T.1],0.035,0.068,0.520,0.603,-0.097,0.168
task[T.predict]:wing_present[T.1],0.127,0.067,1.891,0.059,-0.005,0.259
wing_relevant[T.1]:wing_present[T.1],0.126,0.071,1.765,0.078,-0.014,0.266
task[T.predict]:wing_relevant[T.1]:wing_present[T.1],-0.122,0.095,-1.277,0.202,-0.308,0.065
Group Var,0.007,0.021,,,,
