,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.226,0.092,2.460,0.014,0.046,0.406
task[T.predict],-0.162,0.124,-1.301,0.193,-0.406,0.082
tail_relevant[T.1],-0.018,0.099,-0.183,0.855,-0.213,0.176
tail_present[T.1],-0.091,0.113,-0.813,0.416,-0.312,0.129
task[T.predict]:tail_relevant[T.1],0.106,0.135,0.791,0.429,-0.157,0.370
task[T.predict]:tail_present[T.1],0.073,0.153,0.477,0.633,-0.227,0.373
tail_relevant[T.1]:tail_present[T.1],0.129,0.130,0.991,0.322,-0.126,0.383
task[T.predict]:tail_relevant[T.1]:tail_present[T.1],0.003,0.177,0.014,0.989,-0.344,0.349
Group Var,0.009,0.029,,,,
