,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.096,0.265,11.677,0.000,2.576,3.616
task[T.predict],-0.846,0.292,-2.899,0.004,-1.418,-0.274
wing_relevant,0.319,0.292,1.091,0.275,-0.254,0.892
task[T.predict]:wing_relevant,0.846,0.416,2.036,0.042,0.032,1.661
wing_high,0.212,0.364,0.581,0.561,-0.502,0.926
task[T.predict]:wing_high,0.192,0.424,0.454,0.650,-0.638,1.022
wing_relevant:wing_high,0.700,0.523,1.339,0.181,-0.325,1.725
task[T.predict]:wing_relevant:wing_high,-1.115,0.705,-1.583,0.113,-2.496,0.266
Group Var,2.650,,,,,
