feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,9,high,stripes,feet,E,W,C,F,24,9_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,1,2,2,low,stripes,feet,E,W,C,F,24,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,1,3,1,low,stripes,feet,E,W,C,F,24,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,1,4,8,high,stripes,feet,E,W,C,F,24,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,2,5,7,low,stripes,feet,E,W,C,F,24,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,2,6,8,high,stripes,feet,E,W,C,F,24,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,2,7,4,low,stripes,feet,E,W,C,F,24,4_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,2,8,6,high,stripes,feet,E,W,C,F,24,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,3,9,3,low,stripes,feet,E,W,C,F,24,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,3,10,6,high,stripes,feet,E,W,C,F,24,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,3,11,3,low,stripes,feet,E,W,C,F,24,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,3,12,10,high,stripes,feet,E,W,C,F,24,10_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,4,13,5,low,stripes,feet,E,W,C,F,24,5_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,4,14,3,low,stripes,feet,E,W,C,F,24,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,4,15,9,high,stripes,feet,E,W,C,F,24,9_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,4,16,7,high,stripes,feet,E,W,C,F,24,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low"
