feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,low,stripes,feet,W,E,C,F,2,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,1,2,8,high,stripes,feet,W,E,C,F,2,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,1,3,10,high,stripes,feet,W,E,C,F,2,10_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,1,4,3,low,stripes,feet,W,E,C,F,2,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,2,5,7,high,stripes,feet,W,E,C,F,2,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,2,6,3,low,stripes,feet,W,E,C,F,2,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,2,7,2,low,stripes,feet,W,E,C,F,2,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,2,8,7,high,stripes,feet,W,E,C,F,2,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,3,9,4,low,stripes,feet,W,E,C,F,2,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,3,10,6,high,stripes,feet,W,E,C,F,2,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,3,11,10,high,stripes,feet,W,E,C,F,2,10_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,3,12,3,low,stripes,feet,W,E,C,F,2,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,4,13,3,low,stripes,feet,W,E,C,F,2,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,4,14,7,high,stripes,feet,W,E,C,F,2,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,4,15,4,low,stripes,feet,W,E,C,F,2,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,4,16,7,high,stripes,feet,W,E,C,F,2,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
