feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,3,low,feet,stripes,C,F,W,E,25,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,1,2,7,high,feet,stripes,C,F,W,E,25,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,1,3,9,high,feet,stripes,C,F,W,E,25,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,1,4,6,low,feet,stripes,C,F,W,E,25,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,2,5,1,low,feet,stripes,C,F,W,E,25,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,2,6,6,low,feet,stripes,C,F,W,E,25,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,2,7,10,high,feet,stripes,C,F,W,E,25,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,2,8,6,high,feet,stripes,C,F,W,E,25,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,3,9,3,low,feet,stripes,C,F,W,E,25,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,3,10,7,high,feet,stripes,C,F,W,E,25,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,3,11,10,high,feet,stripes,C,F,W,E,25,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,3,12,3,low,feet,stripes,C,F,W,E,25,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,E,E_F.png,training,4,13,4,low,feet,stripes,C,F,W,E,25,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,W,W_C.png,training,4,14,6,high,feet,stripes,C,F,W,E,25,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
C,E,E_C.png,training,4,15,10,high,feet,stripes,C,F,W,E,25,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
F,W,W_F.png,training,4,16,1,low,feet,stripes,C,F,W,E,25,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,low,low,high"
