feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,low,feet,stripes,F,C,W,E,295,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,W,W_F.png,training,1,2,10,high,feet,stripes,F,C,W,E,295,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,W,W_C.png,training,1,3,7,low,feet,stripes,F,C,W,E,295,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,E,E_F.png,training,1,4,8,high,feet,stripes,F,C,W,E,295,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,E,E_F.png,training,2,5,7,high,feet,stripes,F,C,W,E,295,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,W,W_C.png,training,2,6,8,low,feet,stripes,F,C,W,E,295,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,E,E_C.png,training,2,7,1,low,feet,stripes,F,C,W,E,295,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,W,W_F.png,training,2,8,9,high,feet,stripes,F,C,W,E,295,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,E,E_C.png,training,3,9,4,low,feet,stripes,F,C,W,E,295,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,E,E_F.png,training,3,10,9,high,feet,stripes,F,C,W,E,295,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,W,W_C.png,training,3,11,6,low,feet,stripes,F,C,W,E,295,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,W,W_F.png,training,3,12,8,high,feet,stripes,F,C,W,E,295,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,W,W_F.png,training,4,13,9,high,feet,stripes,F,C,W,E,295,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,W,W_C.png,training,4,14,3,low,feet,stripes,F,C,W,E,295,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
F,E,E_F.png,training,4,15,8,high,feet,stripes,F,C,W,E,295,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
C,E,E_C.png,training,4,16,1,low,feet,stripes,F,C,W,E,295,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","low,high,low,high"
