feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,1,low,feet,stripes,C,F,E,W,289,1_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,W,W_C.png,training,1,2,8,high,feet,stripes,C,F,E,W,289,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,E,E_C.png,training,1,3,7,high,feet,stripes,C,F,E,W,289,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,E,E_F.png,training,1,4,1,low,feet,stripes,C,F,E,W,289,1_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,W,W_C.png,training,2,5,6,high,feet,stripes,C,F,E,W,289,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,W,W_F.png,training,2,6,2,low,feet,stripes,C,F,E,W,289,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,E,E_C.png,training,2,7,6,high,feet,stripes,C,F,E,W,289,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,E,E_F.png,training,2,8,2,low,feet,stripes,C,F,E,W,289,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,E,E_C.png,training,3,9,4,high,feet,stripes,C,F,E,W,289,4_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,W,W_C.png,training,3,10,5,high,feet,stripes,C,F,E,W,289,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,E,E_F.png,training,3,11,6,low,feet,stripes,C,F,E,W,289,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,W,W_F.png,training,3,12,1,low,feet,stripes,C,F,E,W,289,1_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,W,W_F.png,training,4,13,2,low,feet,stripes,C,F,E,W,289,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
F,E,E_F.png,training,4,14,5,low,feet,stripes,C,F,E,W,289,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,W,W_C.png,training,4,15,9,high,feet,stripes,C,F,E,W,289,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
C,E,E_C.png,training,4,16,9,high,feet,stripes,C,F,E,W,289,9_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/W_C.png,Resources/E_F.png","high,low,high,low"
