feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,3,high,stripes,feet,E,W,F,C,160,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,1,2,9,high,stripes,feet,E,W,F,C,160,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,1,3,1,low,stripes,feet,E,W,F,C,160,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,1,4,8,low,stripes,feet,E,W,F,C,160,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,2,5,5,low,stripes,feet,E,W,F,C,160,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,2,6,7,high,stripes,feet,E,W,F,C,160,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,2,7,3,low,stripes,feet,E,W,F,C,160,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,2,8,9,high,stripes,feet,E,W,F,C,160,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,3,9,8,high,stripes,feet,E,W,F,C,160,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,3,10,9,low,stripes,feet,E,W,F,C,160,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,3,11,1,low,stripes,feet,E,W,F,C,160,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,3,12,9,high,stripes,feet,E,W,F,C,160,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,W,W_C.png,training,4,13,1,low,stripes,feet,E,W,F,C,160,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,W,W_F.png,training,4,14,4,low,stripes,feet,E,W,F,C,160,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
F,E,E_F.png,training,4,15,6,high,stripes,feet,E,W,F,C,160,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
C,E,E_C.png,training,4,16,7,high,stripes,feet,E,W,F,C,160,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high"
