feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,high,stripes,feet,E,W,F,C,8,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,W,W_F.png,training,1,2,1,low,stripes,feet,E,W,F,C,8,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,W,W_C.png,training,1,3,3,low,stripes,feet,E,W,F,C,8,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,E,E_F.png,training,1,4,10,high,stripes,feet,E,W,F,C,8,10_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,E,E_C.png,training,2,5,9,high,stripes,feet,E,W,F,C,8,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,W,W_F.png,training,2,6,6,low,stripes,feet,E,W,F,C,8,6_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,E,E_F.png,training,2,7,9,high,stripes,feet,E,W,F,C,8,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,W,W_C.png,training,2,8,4,low,stripes,feet,E,W,F,C,8,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,W,W_F.png,training,3,9,5,low,stripes,feet,E,W,F,C,8,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,E,E_C.png,training,3,10,9,high,stripes,feet,E,W,F,C,8,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,W,W_C.png,training,3,11,4,low,stripes,feet,E,W,F,C,8,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,E,E_F.png,training,3,12,8,high,stripes,feet,E,W,F,C,8,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,E,E_F.png,training,4,13,9,high,stripes,feet,E,W,F,C,8,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,W,W_C.png,training,4,14,7,low,stripes,feet,E,W,F,C,8,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
C,E,E_C.png,training,4,15,7,high,stripes,feet,E,W,F,C,8,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
F,W,W_F.png,training,4,16,3,low,stripes,feet,E,W,F,C,8,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,low,high,high"
