feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,E,E_F.png,training,1,1,5,high,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,1,2,5,low,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,1,3,5,high,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,1,4,6,low,stripes,feet,E,W,C,F,108,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,2,5,2,low,stripes,feet,E,W,C,F,108,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,2,6,5,high,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,2,7,5,high,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,2,8,5,low,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,3,9,9,high,stripes,feet,E,W,C,F,108,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,3,10,1,low,stripes,feet,E,W,C,F,108,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,3,11,4,low,stripes,feet,E,W,C,F,108,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,3,12,8,high,stripes,feet,E,W,C,F,108,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,4,13,1,low,stripes,feet,E,W,C,F,108,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,4,14,9,high,stripes,feet,E,W,C,F,108,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,4,15,5,low,stripes,feet,E,W,C,F,108,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,4,16,3,high,stripes,feet,E,W,C,F,108,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low"
