feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,5,low,stripes,feet,W,E,C,F,278,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,1,2,1,low,stripes,feet,W,E,C,F,278,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,1,3,6,high,stripes,feet,W,E,C,F,278,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,1,4,7,high,stripes,feet,W,E,C,F,278,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,2,5,6,low,stripes,feet,W,E,C,F,278,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,2,6,4,high,stripes,feet,W,E,C,F,278,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,2,7,9,high,stripes,feet,W,E,C,F,278,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,2,8,3,low,stripes,feet,W,E,C,F,278,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,3,9,4,low,stripes,feet,W,E,C,F,278,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,3,10,3,low,stripes,feet,W,E,C,F,278,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,3,11,7,high,stripes,feet,W,E,C,F,278,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,3,12,8,high,stripes,feet,W,E,C,F,278,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,W,W_F.png,training,4,13,10,high,stripes,feet,W,E,C,F,278,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,E,E_C.png,training,4,14,4,low,stripes,feet,W,E,C,F,278,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
C,W,W_C.png,training,4,15,8,high,stripes,feet,W,E,C,F,278,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
F,E,E_F.png,training,4,16,1,low,stripes,feet,W,E,C,F,278,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low"
