feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,1,low,feet,stripes,F,C,E,W,23,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,1,2,2,low,feet,stripes,F,C,E,W,23,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,1,3,10,high,feet,stripes,F,C,E,W,23,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,1,4,8,high,feet,stripes,F,C,E,W,23,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,2,5,6,high,feet,stripes,F,C,E,W,23,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,2,6,8,high,feet,stripes,F,C,E,W,23,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,2,7,7,low,feet,stripes,F,C,E,W,23,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,2,8,7,low,feet,stripes,F,C,E,W,23,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,3,9,8,high,feet,stripes,F,C,E,W,23,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,3,10,4,low,feet,stripes,F,C,E,W,23,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,3,11,7,high,feet,stripes,F,C,E,W,23,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,3,12,1,low,feet,stripes,F,C,E,W,23,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,4,13,2,low,feet,stripes,F,C,E,W,23,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,4,14,8,high,feet,stripes,F,C,E,W,23,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,4,15,7,low,feet,stripes,F,C,E,W,23,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,4,16,10,high,feet,stripes,F,C,E,W,23,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
