feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,6,high,stripes,feet,W,E,F,C,194,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,E,E_F.png,training,1,2,6,low,stripes,feet,W,E,F,C,194,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,W,W_C.png,training,1,3,7,high,stripes,feet,W,E,F,C,194,7_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,E,E_C.png,training,1,4,6,low,stripes,feet,W,E,F,C,194,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,W,W_C.png,training,2,5,6,high,stripes,feet,W,E,F,C,194,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,W,W_F.png,training,2,6,6,high,stripes,feet,W,E,F,C,194,6_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,E,E_C.png,training,2,7,5,low,stripes,feet,W,E,F,C,194,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,E,E_F.png,training,2,8,2,low,stripes,feet,W,E,F,C,194,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,W,W_F.png,training,3,9,10,high,stripes,feet,W,E,F,C,194,10_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,E,E_F.png,training,3,10,3,low,stripes,feet,W,E,F,C,194,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,E,E_C.png,training,3,11,2,low,stripes,feet,W,E,F,C,194,2_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,W,W_C.png,training,3,12,5,high,stripes,feet,W,E,F,C,194,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,E,E_F.png,training,4,13,3,low,stripes,feet,W,E,F,C,194,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,E,E_C.png,training,4,14,3,low,stripes,feet,W,E,F,C,194,3_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
C,W,W_C.png,training,4,15,5,high,stripes,feet,W,E,F,C,194,5_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
F,W,W_F.png,training,4,16,8,high,stripes,feet,W,E,F,C,194,8_score.png,"Resources/E_C.png,Resources/W_F.png,Resources/E_F.png,Resources/W_C.png","low,high,low,high"
