feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,7,high,stripes,feet,E,W,F,C,116,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,W,W_C.png,training,1,2,2,low,stripes,feet,E,W,F,C,116,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,E,E_F.png,training,1,3,7,high,stripes,feet,E,W,F,C,116,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,W,W_F.png,training,1,4,7,low,stripes,feet,E,W,F,C,116,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,E,E_C.png,training,2,5,3,high,stripes,feet,E,W,F,C,116,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,W,W_F.png,training,2,6,3,low,stripes,feet,E,W,F,C,116,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,E,E_F.png,training,2,7,6,high,stripes,feet,E,W,F,C,116,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,W,W_C.png,training,2,8,2,low,stripes,feet,E,W,F,C,116,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,W,W_C.png,training,3,9,2,low,stripes,feet,E,W,F,C,116,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,E,E_C.png,training,3,10,10,high,stripes,feet,E,W,F,C,116,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,W,W_F.png,training,3,11,5,low,stripes,feet,E,W,F,C,116,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,E,E_F.png,training,3,12,5,high,stripes,feet,E,W,F,C,116,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,E,E_C.png,training,4,13,8,high,stripes,feet,E,W,F,C,116,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,W,W_F.png,training,4,14,1,low,stripes,feet,E,W,F,C,116,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
C,W,W_C.png,training,4,15,1,low,stripes,feet,E,W,F,C,116,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
F,E,E_F.png,training,4,16,8,high,stripes,feet,E,W,F,C,116,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low"
