feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,E,E_C.png,training,1,1,4,low,feet,stripes,F,C,W,E,243,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,1,2,10,high,feet,stripes,F,C,W,E,243,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,1,3,3,low,feet,stripes,F,C,W,E,243,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,1,4,5,high,feet,stripes,F,C,W,E,243,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,2,5,8,high,feet,stripes,F,C,W,E,243,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,2,6,1,low,feet,stripes,F,C,W,E,243,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,2,7,3,low,feet,stripes,F,C,W,E,243,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,2,8,9,high,feet,stripes,F,C,W,E,243,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,3,9,1,low,feet,stripes,F,C,W,E,243,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,3,10,7,high,feet,stripes,F,C,W,E,243,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,3,11,5,high,feet,stripes,F,C,W,E,243,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,3,12,7,low,feet,stripes,F,C,W,E,243,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,E,E_F.png,training,4,13,8,high,feet,stripes,F,C,W,E,243,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,W,W_C.png,training,4,14,1,low,feet,stripes,F,C,W,E,243,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
C,E,E_C.png,training,4,15,1,low,feet,stripes,F,C,W,E,243,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
F,W,W_F.png,training,4,16,4,high,feet,stripes,F,C,W,E,243,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,high,high,low"
