feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
C,W,W_C.png,training,1,1,3,low,feet,stripes,F,C,E,W,47,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,1,2,6,low,feet,stripes,F,C,E,W,47,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,1,3,9,high,feet,stripes,F,C,E,W,47,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,1,4,10,high,feet,stripes,F,C,E,W,47,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,2,5,5,low,feet,stripes,F,C,E,W,47,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,2,6,5,high,feet,stripes,F,C,E,W,47,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,2,7,2,low,feet,stripes,F,C,E,W,47,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,2,8,6,high,feet,stripes,F,C,E,W,47,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,3,9,5,high,feet,stripes,F,C,E,W,47,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,3,10,4,low,feet,stripes,F,C,E,W,47,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,3,11,3,low,feet,stripes,F,C,E,W,47,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,3,12,5,high,feet,stripes,F,C,E,W,47,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,W,W_C.png,training,4,13,1,low,feet,stripes,F,C,E,W,47,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
C,E,E_C.png,training,4,14,1,low,feet,stripes,F,C,E,W,47,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,E,E_F.png,training,4,15,9,high,feet,stripes,F,C,E,W,47,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
F,W,W_F.png,training,4,16,5,high,feet,stripes,F,C,E,W,47,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low"
