feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,4,high,feet,stripes,F,C,W,E,103,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,1,2,4,low,feet,stripes,F,C,W,E,103,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,1,3,4,high,feet,stripes,F,C,W,E,103,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,1,4,1,low,feet,stripes,F,C,W,E,103,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,2,5,5,low,feet,stripes,F,C,W,E,103,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,2,6,8,high,feet,stripes,F,C,W,E,103,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,2,7,1,low,feet,stripes,F,C,W,E,103,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,2,8,9,high,feet,stripes,F,C,W,E,103,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,3,9,4,low,feet,stripes,F,C,W,E,103,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,3,10,6,high,feet,stripes,F,C,W,E,103,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,3,11,8,high,feet,stripes,F,C,W,E,103,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,3,12,3,low,feet,stripes,F,C,W,E,103,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,W,W_C.png,training,4,13,1,low,feet,stripes,F,C,W,E,103,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,E,E_F.png,training,4,14,5,high,feet,stripes,F,C,W,E,103,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
C,E,E_C.png,training,4,15,2,low,feet,stripes,F,C,W,E,103,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
F,W,W_F.png,training,4,16,10,high,feet,stripes,F,C,W,E,103,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,low,low,high"
