feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,8,high,feet,stripes,F,C,W,E,163,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,1,2,5,low,feet,stripes,F,C,W,E,163,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,1,3,4,low,feet,stripes,F,C,W,E,163,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,1,4,9,high,feet,stripes,F,C,W,E,163,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,2,5,1,low,feet,stripes,F,C,W,E,163,1_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,2,6,10,high,feet,stripes,F,C,W,E,163,10_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,2,7,8,high,feet,stripes,F,C,W,E,163,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,2,8,6,low,feet,stripes,F,C,W,E,163,6_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,3,9,8,high,feet,stripes,F,C,W,E,163,8_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,3,10,4,low,feet,stripes,F,C,W,E,163,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,3,11,2,low,feet,stripes,F,C,W,E,163,2_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,3,12,9,high,feet,stripes,F,C,W,E,163,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,W,W_C.png,training,4,13,4,low,feet,stripes,F,C,W,E,163,4_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,W,W_F.png,training,4,14,9,high,feet,stripes,F,C,W,E,163,9_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
F,E,E_F.png,training,4,15,5,high,feet,stripes,F,C,W,E,163,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
C,E,E_C.png,training,4,16,7,low,feet,stripes,F,C,W,E,163,7_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/E_F.png,Resources/W_F.png","low,low,high,high"
