feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories
F,W,W_F.png,training,1,1,9,high,feet,stripes,F,C,E,W,67,9_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,W,W_C.png,training,1,2,1,low,feet,stripes,F,C,E,W,67,1_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,E,E_F.png,training,1,3,10,high,feet,stripes,F,C,E,W,67,10_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,E,E_C.png,training,1,4,4,low,feet,stripes,F,C,E,W,67,4_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,E,E_F.png,training,2,5,5,high,feet,stripes,F,C,E,W,67,5_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,W,W_F.png,training,2,6,8,high,feet,stripes,F,C,E,W,67,8_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,W,W_C.png,training,2,7,5,low,feet,stripes,F,C,E,W,67,5_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,E,E_C.png,training,2,8,4,low,feet,stripes,F,C,E,W,67,4_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,W,W_C.png,training,3,9,1,low,feet,stripes,F,C,E,W,67,1_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,E,E_C.png,training,3,10,6,low,feet,stripes,F,C,E,W,67,6_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,W,W_F.png,training,3,11,9,high,feet,stripes,F,C,E,W,67,9_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,E,E_F.png,training,3,12,7,high,feet,stripes,F,C,E,W,67,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,E,E_F.png,training,4,13,10,high,feet,stripes,F,C,E,W,67,10_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
F,W,W_F.png,training,4,14,7,high,feet,stripes,F,C,E,W,67,7_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,E,E_C.png,training,4,15,9,low,feet,stripes,F,C,E,W,67,9_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
C,W,W_C.png,training,4,16,6,low,feet,stripes,F,C,E,W,67,6_score.png,"Resources/W_C.png,Resources/W_F.png,Resources/E_C.png,Resources/E_F.png","low,high,low,high"
