consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,320.4988,320.4988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,320.499,475.8783,1,[152.39270000004763],[152.39280000007147],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,475.8786,483.0455,1,[4.167700000047603],[4.167700000047603],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,483.0467,489.9447,Yes,5.005,Yes,2.9191,Yes,5.5146,Yes,6.3644,1,[0.5496999999285208],[0.5496999999285208],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,489.9454,495.7935,1,[2.8483999999760954],[2.8483999999760954],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.7939,501.8946,Any of These,5.4292,1,[0.6827999999522945],[0.6827999999522945],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.8949,505.6787,1,[0.7851000000238173],[0.7851000000238173],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.6789,510.7957,1,[2.1184999999999263],[2.1184999999999263],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,2026-02-07_11h09.10.728,explain2,2025.1.1,Win32,60.60606061,58a1fe40ea3d11000170d9b9,6984dbf77eae7ba9a4708224,6987610fbf7b8e6fb112cbac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.7958,518.2432,1,[4.451199999928463],[4.451199999928463],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
