consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301.6391,1376.9258,1,[72.29020000004789],[72.29020000004789],Because it is yellow with wings and curled tailed.  May be eating a different amount on a different day.,1376.9258,1377.4254,0,15,15,15,1,T,Y,C,T_Y_C.png,training,2,16,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,183,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.429,1439.8348,1,[59.40859999990448],[59.40859999990448],Because it is yellow with a curled tail.  May be eating a different amount on a different day.,1439.835,1440.3343,0,16,16,16,1,N,Y,C,N_Y_C.png,training,3,17,8,high,color,wing,tail,Y,B,N,T,H2,H1,I2,S,C,183,8_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.339,1531.4737,1,[88.1387999999522],[88.1387999999522],Because it's blue with wings and a straight tail.,1531.4741,1531.9724,0,17,17,17,1,T,B,S,T_B_S.png,training,3,18,2,low,color,wing,tail,Y,B,N,T,L2,L1,I1,S,C,183,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.9774,1648.2754,1,[113.30209999990461],[113.30209999990461],Because it's blue with a curled tail.  May be eating a different amount on a different day.,1648.2759,1648.7737,0,18,18,18,1,N,B,C,N_B_C.png,training,3,19,4,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,S,C,183,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648.7772,1696.7015,1,[44.927200000047605],[44.927200000047605],Because it's yellow with a straight tail.  May be eating a different amount on a different day.,1696.7018,1697.201,0,19,19,19,1,N,Y,S,N_Y_S.png,training,3,20,7,high,color,wing,tail,Y,B,N,T,H2,H1,I1,S,C,183,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.206,1757.1437,1,[56.94229999995218],[56.94229999995218],Because it is yellow with wings and a curled tail.,1757.1442,1757.6431,0,20,20,20,1,T,Y,C,T_Y_C.png,training,3,21,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,183,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.6469,1821.5687,1,[60.92540000009535],[60.92540000009535],Because is is yellow with wings and a straight tail.  May be eating a different amount on a different day.,1821.5689,1822.068,0,21,21,21,1,T,Y,S,T_Y_S.png,training,3,22,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,183,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.0714,1901.4753,1,[76.40640000009535],[76.40640000009535],Because it is blue with wings.,1901.4757,1901.9746,0,22,22,22,1,T,B,C,T_B_C.png,training,3,23,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,S,C,183,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.9788,1972.532,1,[67.5575999999046],[67.55770000004759],Because it is blue with a straight tail.  May be eating a different amount on a different day.,1972.5321,1973.032,0,23,23,23,1,N,B,S,N_B_S.png,training,3,24,5,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,183,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png","medium,medium,high,medium,low,medium,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,2026-02-07_10h58.13.280,explain2,2025.1.1,Win32,60.60606061,6963e4dc591f0598008c7e94,6984dbf77eae7ba9a4708224,69876eed50c8c930ced50d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.033,1977.9487,1,[1.9165000000000418],[1.9165000000000418],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
