consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.2892,299.4547,1,[2.1667000000476833],[2.1667000000476833],upwards spiral tail,299.4548,299.9536,0,17,17,17,1,N,B,C,N_B_C.png,training,3,18,7,medium,tail,wing,color,C,S,T,N,L2,I1,H1,B,Y,97,7_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.9566,304.9212,1,[1.9666999998092933],[1.9666999998092933],straight tail,304.9213,305.4203,0,18,18,18,1,T,Y,S,T_Y_S.png,training,3,19,6,medium,tail,wing,color,C,S,T,N,H2,I2,L1,B,Y,97,6_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4228,310.6379,1,[2.2164999999999964],[2.2164999999999964],straight tail,310.6379,311.1372,0,19,19,19,1,T,B,S,T_B_S.png,training,3,20,6,medium,tail,wing,color,C,S,T,N,H2,I1,L1,B,Y,97,6_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.1392,317.5379,1,[3.3998999998569275],[3.3999999999999773],upwards spiral tail,317.538,318.037,0,20,20,20,1,N,Y,C,N_Y_C.png,training,3,21,5,medium,tail,wing,color,C,S,T,N,L2,I2,H1,B,Y,97,5_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0393,323.588,1,[2.55009999990466],[2.55009999990466],upwards spiral tial,323.5882,324.087,0,21,21,21,1,T,B,C,T_B_C.png,training,3,22,6,high,tail,wing,color,C,S,T,N,H2,I1,H1,B,Y,97,6_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0894,331.8546,1,[4.766999999999996],[4.766999999999996],upward straight tail,331.8547,332.3536,0,22,22,22,1,N,Y,S,N_Y_S.png,training,3,23,4,low,tail,wing,color,C,S,T,N,L2,I2,L1,B,Y,97,4_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.3567,346.5705,1,[11.215999999999951],[11.215999999999951],wings and upwards spiral tail,346.5707,347.0703,0,23,23,23,1,T,Y,C,T_Y_C.png,training,3,24,7,high,tail,wing,color,C,S,T,N,H2,I2,H1,B,Y,97,7_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.071,351.4195,1,[1.3500000000000227],[1.3500000000000227],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,C,N_Y_C.png,training,1,1,5,medium,tail,wing,color,C,S,T,N,L2,I2,H1,B,Y,97,5_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,medium,high,medium,low,medium,medium",,,,,,351.4416,405.07,"[4,6,6,8,6,3,7,4]",1,[1.1662999999523436],[1.1662999999523436],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0716,412.2364,,,No,6.3787,,,1,[0.8002000000477096],[0.8002000000477096],0,0,0,0,1,color,Did the COLOR change?,Now you will answer some questions about what you have learned. With respect to the COLOR of sperks,Did color matter to how much food sperks ate?,"Blue, Yellow",,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.2395,421.5365,5,8.4291,Yes,1.5952,0,5.3284,1,[0.8829999999999814],[0.8829999999999814],0,1,1,2,1,wing,Did the SHAPE change?,Now you will answer some questions about what you have learned. With respect to the WINGS or PAWS of sperks,Did wings or paws matter to how much food sperks ate?,"Wings, Paws",Wings,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.5398,434.487,5,12.3295,Yes,3.095,0,9.4623,1,[0.633400000095321],[0.633400000095321],0,2,2,1,1,tail,Did the TAIL change?,Now you will answer some questions about what you have learned. With respect to the TAIL of sperks,Did tail shape matter to how much food sperks ate?,"Curly, Straight",Curly,,,,,,,,,,,,,,,,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.4876,441.2372,0,[],[],0,[],[],1,[4.749900000095408],[4.749900000095408],0,[],[],,,,,,,
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.2375,447.938,,1,[5.699999999999989],[5.699999999999989],
,097,2026-02-07_07h53.59.506,explain2,2025.1.1,MacIntel,59.88023952,6966aef7933ed17148cf77d0,6984dbf77eae7ba9a4708224,69875fd43d32c231b8e3deee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
