consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2523,260.956,1,[25.708699999988028],[25.708699999988028],Because it's yellow,260.9621,261.4494,0,0,0,0,1,N,Y,S,N_Y_S.png,training,1,1,7,high,color,wing,tail,Y,B,N,T,H2,H1,I2,S,C,179,7_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.4508,280.6578,1,[16.207399999976133],[16.207399999976133],Because it's blue,280.6656,281.151,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,4,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,S,C,179,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.1526,306.6705,1,[22.535600000023862],[22.535700000047655],Because it's blue,306.6754,307.1702,0,2,2,2,1,T,B,C,T_B_C.png,training,1,3,4,low,color,wing,tail,Y,B,N,T,L2,L1,I1,S,C,179,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.1736,328.1061,1,[17.935000000000002],[17.935000000000002],Because it's yellow,328.1111,328.6054,0,3,3,3,1,T,Y,S,T_Y_S.png,training,1,4,6,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,179,6_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.6069,393.7285,1,[62.1225],[62.1225],Because it has a curly tail,393.7328,394.228,0,4,4,4,1,N,Y,C,N_Y_C.png,training,1,5,5,high,color,wing,tail,Y,B,N,T,H2,H1,I1,S,C,179,5_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.2295,427.0377,1,[29.809399999976108],[29.809399999976108],Because it has front paws,427.0422,427.5311,0,5,5,5,1,N,B,C,N_B_C.png,training,1,6,6,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,179,6_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.5326,465.1354,1,[34.603400000035776],[34.603400000035776],Because it has a straight tail,465.1404,465.6346,0,6,6,6,1,T,B,S,T_B_S.png,training,1,7,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,S,C,179,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.6363,590.3302,1,[121.6943999999761],[121.69449999999995],"Another sperk just like this ate 6 chili peppers, so maybe this sperk just wasn't that hungry or couldn't find more chili peppers in the area.",590.3357,590.8294,0,7,7,7,1,T,Y,C,T_Y_C.png,training,1,8,2,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,179,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.8309,632.0568,1,[38.226199999988125],[38.226199999988125],"Another sperk just like this ate 6 chili peppers, so maybe this one wasn't hungry or couldn't find more chili peppers to eat in the area.",632.0611,632.5489,0,8,8,8,1,N,B,C,N_B_C.png,training,2,9,3,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,179,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,2026-02-07_09h03.52.552,explain2,2025.1.1,MacIntel,59.88023952,6962de0ddc2b5696deebfdcc,6984dbf77eae7ba9a4708224,6987622f974fcd48220e6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.5503,653.2692,1,[17.735100000023863],[17.735100000023863],Because that's how many chili peppers the sperk could find when searching.,653.2733,653.7685,0,9,9,9,1,T,Y,C,T_Y_C.png,training,2,10,4,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,179,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png","low,medium,medium,high,low,medium,medium,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
