consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,35.008,35.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,35.009,53.26,1,[15.254999999999995],[15.254999999999995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,53.26,73.167,1,[16.921999999999997],[16.921999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,73.17,86.038,Yes,6.559,Yes,5.56,Yes,11.829,No,10.817,1,[1.0500000000000114],[1.0500000000000114],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,86.039,90.923,1,[1.9000000000000057],[1.9000000000000057],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.924,95.674,Any of These,3.859,1,[0.8990000000000009],[0.8990000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.675,99.559,1,[0.8990000000000009],[0.8990000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.56,116.882,1,[14.338999999999999],[14.338999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.882,126.235,1,[6.367999999999995],[6.367999999999995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-02-07_10h45.29.021,explain2,2025.1.1,MacIntel,57.40528129,695bb8d9b6d4c1e5d042d7ac,6984dbf77eae7ba9a4708224,69875df55a3fc6afb0dab1c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.241,146.009,1,[16.772999999999996],[16.772999999999996],Because he has a tail,146.01,146.508,0,0,0,0,1,T,Y,S,T_Y_S.png,training,1,1,6,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,5,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
