consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,color_high,color_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7594,97.366,1,[11.621600000023832],[11.621600000023832],he is round & blue with a tail,97.3665,97.8651,0,0,0,0,1,T,B,C,T_B_C.png,training,1,1,3,low,shape,color,tail,S,C,Y,B,I2,L2,L1,N,T,4,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8682,106.9565,1,[6.093699999928475],[6.093699999928475],he is square with no tail,106.9565,107.4555,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,7,medium,shape,color,tail,S,C,Y,B,I1,L2,H1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4584,116.1642,1,[5.710499999999996],[5.710499999999996],he is yellow and square with no tail,116.1644,116.6631,0,2,2,2,1,N,Y,S,N_Y_S.png,training,1,3,5,high,shape,color,tail,S,C,Y,B,I1,H2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6663,125.6214,1,[5.960499999999996],[5.960499999999996],he is round and yellow with tail,125.6215,126.1204,0,3,3,3,1,T,Y,C,T_Y_C.png,training,1,4,6,medium,shape,color,tail,S,C,Y,B,I2,H2,L1,N,T,4,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1229,133.7966,1,[4.678400000095365],[4.678400000095365],round no tail,133.7966,134.2956,0,4,4,4,1,N,B,C,N_B_C.png,training,1,5,6,low,shape,color,tail,S,C,Y,B,I1,L2,L1,N,T,4,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2985,141.3726,1,[4.079200000047678],[4.079200000047678],square tail,141.3727,141.8716,0,5,5,5,1,T,B,S,T_B_S.png,training,1,6,5,medium,shape,color,tail,S,C,Y,B,I2,L2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.8742,147.2167,1,[2.3468999999761593],[2.3470000000000084],round no tail,147.2168,147.7155,0,6,6,6,1,N,Y,C,N_Y_C.png,training,1,7,7,medium,shape,color,tail,S,C,Y,B,I1,H2,L1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.7176,156.5576,1,[5.844100000023843],[5.844100000023843],yellow square tail,156.5577,157.0574,0,7,7,7,1,T,Y,S,T_Y_S.png,training,1,8,7,high,shape,color,tail,S,C,Y,B,I2,H2,H1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0602,161.0534,1,[0.9986000000238562],[0.9986000000238562],blue,161.0535,161.552,0,8,8,8,1,N,B,C,N_B_C.png,training,2,9,1,low,shape,color,tail,S,C,Y,B,I1,L2,L1,N,T,4,1_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-01-06_12h39.07.288,explain2,2025.1.1,Win32,60.97560976,6943448de0ba4e96ec5a82d7,695d37637781e687b2ea1995,695d483ce10e376f11d31549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.5542,165.449,1,[0.8981000000238168],[0.8981000000238168],yellow,165.449,165.9483,0,9,9,9,1,T,Y,S,T_Y_S.png,training,2,10,5,high,shape,color,tail,S,C,Y,B,I2,H2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
