consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.795,234.5084,1,[41.716500000000025],[41.71659999999963],"because it had a tail, was blue and square",234.5086,235.0083,0,0,0,0,1,T,B,S,T_B_S.png,training,1,1,7,high,tail,color,shape,T,N,B,Y,H1,H2,I2,C,S,18,7_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0107,252.4249,1,[14.416299999998898],[14.416299999998898],because it had no tail and is a circle,252.4249,252.9247,0,1,1,1,1,N,B,C,N_B_C.png,training,1,2,5,medium,tail,color,shape,T,N,B,Y,L1,H2,I1,C,S,18,5_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9268,262.4753,1,[6.549800000000744],[6.549800000000744],because it is yellow,262.4753,262.9747,0,2,2,2,1,N,Y,S,N_Y_S.png,training,1,3,2,low,tail,color,shape,T,N,B,Y,L1,L2,I2,C,S,18,2_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.9768,275.5085,1,[9.53309999999965],[9.53309999999965],because it is blue and has a tail,275.5085,276.0081,0,3,3,3,1,T,B,C,T_B_C.png,training,1,4,7,high,tail,color,shape,T,N,B,Y,H1,H2,I1,C,S,18,7_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0105,287.6255,1,[8.616799999998875],[8.616799999998875],because it has no tail ,287.6257,288.1247,0,4,4,4,1,N,Y,C,N_Y_C.png,training,1,5,1,low,tail,color,shape,T,N,B,Y,L1,L2,I1,C,S,18,1_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.1266,296.7088,1,[5.583199999999238],[5.583199999999238],because it has a tail,296.709,297.2081,0,5,5,5,1,T,Y,S,T_Y_S.png,training,1,6,7,medium,tail,color,shape,T,N,B,Y,H1,L2,I2,C,S,18,7_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2099,307.5257,1,[7.317000000000007],[7.317000000000007],because it is circle,307.5258,308.0248,0,6,6,6,1,T,Y,C,T_Y_C.png,training,1,7,5,medium,tail,color,shape,T,N,B,Y,H1,L2,I1,C,S,18,5_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0269,319.7755,1,[8.749900000000366],[8.749900000000366],because it is square,319.7756,320.2748,0,7,7,7,1,N,B,S,N_B_S.png,training,1,8,3,medium,tail,color,shape,T,N,B,Y,L1,H2,I2,C,S,18,3_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.2768,335.6752,1,[12.400000000000034],[12.400000000000034],because it is square and blue,335.6753,336.1746,0,8,8,8,1,N,B,S,N_B_S.png,training,2,9,4,medium,tail,color,shape,T,N,B,Y,L1,H2,I2,C,S,18,4_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1766,342.3756,1,[3.2000000000000455],[3.2000000000000455],because it has no tail,342.3757,342.8747,0,9,9,9,1,N,Y,S,N_Y_S.png,training,2,10,3,low,tail,color,shape,T,N,B,Y,L1,L2,I2,C,S,18,3_food.png,"Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,high,high,low,medium,medium,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
