consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.696,86.3828,1,[8.699699999988084],[8.699699999988084],hes a blue sqaure,86.3839,86.8835,0,0,0,0,1,N,B,S,N_B_S.png,training,1,1,5,medium,tail,shape,color,T,N,S,C,L1,I2,H2,Y,B,3,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8879,94.8655,1,[4.983099999994039],[4.983199999988088],they are yellow,94.8657,95.3646,0,1,1,1,1,N,Y,S,N_Y_S.png,training,1,2,4,medium,tail,shape,color,T,N,S,C,L1,I1,H2,Y,B,3,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3684,101.4827,1,[3.116400000005953],[3.116400000005953],they are circle,101.4828,101.9819,0,2,2,2,1,N,Y,C,N_Y_C.png,training,1,3,2,low,tail,shape,color,T,N,S,C,L1,I1,L2,Y,B,3,2_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9871,111.7161,1,[6.732500000000002],[6.732500000000002],they are square with a tail ,111.7163,112.2136,0,3,3,3,1,T,B,S,T_B_S.png,training,1,4,5,high,tail,shape,color,T,N,S,C,H1,I2,H2,Y,B,3,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.217,121.8151,1,[6.599599999994027],[6.599599999994027],they are yellow square and have a tail ,121.8158,122.3133,0,4,4,4,1,T,Y,S,T_Y_S.png,training,1,5,8,high,tail,shape,color,T,N,S,C,H1,I1,H2,Y,B,3,8_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.318,128.9158,1,[3.5992000000029805],[3.5992000000029805],they are circle,128.9162,129.413,0,5,5,5,1,N,B,C,N_B_C.png,training,1,6,1,low,tail,shape,color,T,N,S,C,L1,I2,L2,Y,B,3,1_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4177,136.6314,1,[4.21690000000595],[4.21690000000595],they are a circle with a tail,136.6318,137.1298,0,6,6,6,1,T,Y,C,T_Y_C.png,training,1,7,4,medium,tail,shape,color,T,N,S,C,H1,I1,L2,Y,B,3,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1346,145.5978,1,[5.4666000000089525],[5.4666000000089525],they are a blue circle with a tail ,145.5982,146.0959,0,7,7,7,1,T,B,C,T_B_C.png,training,1,8,6,medium,tail,shape,color,T,N,S,C,H1,I2,L2,Y,B,3,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.1007,158.4641,1,[9.36629999999704],[9.36629999999704],they have a tail,158.4646,158.9616,0,8,8,8,1,T,Y,C,T_Y_C.png,training,2,9,6,medium,tail,shape,color,T,N,S,C,H1,I1,L2,Y,B,3,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2026-01-06_12h52.22.916,explain2,2025.1.1,Win32,59.88023952,6015cc8c9807116ee723287d,695d37637781e687b2ea1995,695d4ba42c03609bc4ccbac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.9665,175.5291,1,[13.566400000005956],[13.566400000005956],hes a square,175.5292,176.0277,0,9,9,9,1,N,Y,S,N_Y_S.png,training,2,10,7,medium,tail,shape,color,T,N,S,C,L1,I1,H2,Y,B,3,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,high,high,medium,low,medium,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
