consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.6846,430.1176,1,[15.436600000000112],[15.436600000000112],Because it is yellow with a round body and lacking  tail.,430.1176,430.6021,0,17,17,17,1,N,Y,C,N_Y_C.png,training,3,18,4,medium,shape,tail,color,S,C,N,T,H2,I1,L1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.6036,443.4116,1,[9.81660000000005],[9.81660000000005],Because it is blue with a round body with a tail.,443.4116,443.8929,0,18,18,18,1,T,B,C,T_B_C.png,training,3,19,1,low,shape,tail,color,S,C,N,T,L2,I2,L1,Y,B,14,1_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.8943,454.2301,1,[7.353699999999719],[7.353699999999719],Because it's blue with a round body and lacking a tail.,454.2302,454.7192,0,19,19,19,1,N,B,C,N_B_C.png,training,3,20,5,medium,shape,tail,color,S,C,N,T,H2,I2,L1,Y,B,14,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.7203,476.5875,1,[18.870400000000416],[18.870400000000416],Because it's blue with a square body and a tail.,476.5875,477.0711,0,20,20,20,1,T,B,S,T_B_S.png,training,3,21,4,medium,shape,tail,color,S,C,N,T,L2,I2,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.0721,490.9521,1,[10.9005999999996],[10.9005999999996],Because it's yellow with a square body and lacking a tail.,490.9522,491.4588,0,21,21,21,1,N,Y,S,N_Y_S.png,training,3,22,7,high,shape,tail,color,S,C,N,T,H2,I1,H1,Y,B,14,7_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.4597,503.7257,1,[9.268799999999885],[9.268799999999885],Because it's yellow with a round body and a tail.,503.7258,504.2103,0,22,22,22,1,T,Y,C,T_Y_C.png,training,3,23,4,low,shape,tail,color,S,C,N,T,L2,I1,L1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.2113,517.4082,1,[10.210199999999759],[10.210299999999847],Because it's yellow with a square body and a tail.,517.4082,517.8967,0,23,23,23,1,T,Y,S,T_Y_S.png,training,3,24,3,medium,shape,tail,color,S,C,N,T,L2,I1,H1,Y,B,14,3_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.897,524.3697,1,[3.479700000000207],[3.479700000000207],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,S,N_Y_S.png,training,1,1,4,high,shape,tail,color,S,C,N,T,H2,I1,H1,Y,B,14,4_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,high,medium,high,low,medium,low,medium",,,,,,524.3836,559.1385,"[6,6,2,6,4,2,4,6]",1,[1.2362000000001672],[1.2362000000001672],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.1402,574.1989,4,14.5101,Yes,4.5892,Having a Tail,Having a Tail,11.6074,1,[1.4517000000001872],[1.4517000000001872],0,0,0,1,1,tail,Did the TAIL change?,Now you will answer some questions about what you have learned. With respect to the TAIL of sperks,Did having a tail matter to how much food sperks ate?,"Having a Tail, Having no Tail",,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.2017,586.2247,4,11.4503,Yes,2.363,Square,0,6.6044,1,[3.6706999999997834],[3.670799999999872],0,1,1,2,1,shape,Did the SHAPE change?,Now you will answer some questions about what you have learned. With respect to the SHAPE of sperks,Did shape matter to how much food sperks ate?,"Square, Circular",,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.2267,592.7781,,,No,5.3779,,,,1,[1.2092000000002372],[1.2092000000002372],0,2,2,0,1,color,Did the COLOR change?,Now you will answer some questions about what you have learned. With respect to the COLOR of sperks,Did color matter to how much food sperks ate?,"Blue, Yellow",,,,,,,,,,,,,,,,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.7784,597.4533,0,[],[],0,[],[],1,[2.706899999999905],[2.706899999999905],0,[],[],,,,,,,
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.4534,607.6669,,1,[7.221399999999903],[7.221399999999903],
,014,2026-01-06_13h12.08.216,explain2,2025.1.1,Win32,28.73563218,55b00063fdf99b5c0061941f,695d37637781e687b2ea1995,695d4f17c0cd4708e1fe2fe7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
