consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,205.9386,218.6044,1,[9.667100000143051],[9.667100000143051],The seasons have changed,218.6049,219.6028,0,4,4,4,1,F,E,E_F.png,training,2,5,1,low,feet,stripes,C,F,E,W,5,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,219.6062,247.2226,1,[24.618400000095363],[24.618400000095363],Maturity of reptile,247.2228,248.2215,0,5,5,5,1,C,W,W_C.png,training,2,6,5,high,feet,stripes,C,F,E,W,5,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,248.2255,301.4765,1,[50.253499999999974],[50.253499999999974],close breeding season by looks of it,301.4768,302.4751,0,6,6,6,1,F,W,W_F.png,training,2,7,2,low,feet,stripes,C,F,E,W,5,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,302.4782,333.9282,1,[28.4517999999523],[28.45189999985695],Seems younger,333.9284,334.9273,0,7,7,7,1,C,E,E_C.png,training,2,8,8,high,feet,stripes,C,F,E,W,5,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,334.9303,349.2174,1,[11.301599999904624],[11.301599999904624],Looks happy in environment,349.2175,350.2139,0,8,8,8,1,C,W,W_C.png,training,3,9,7,high,feet,stripes,C,F,E,W,5,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,350.2171,359.5976,1,[6.3842999999523045],[6.3842999999523045],Looks vital,359.5979,360.5957,0,9,9,9,1,C,E,E_C.png,training,3,10,7,high,feet,stripes,C,F,E,W,5,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,360.5986,378.5354,1,[14.938600000143026],[14.938600000143026],Looks like summer,378.5356,379.5334,0,10,10,10,1,F,W,W_F.png,training,3,11,6,low,feet,stripes,C,F,E,W,5,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,379.5361,410.1994,1,[27.668399999856945],[27.668399999856945],Seems the right age for breeding,410.1996,411.1988,0,11,11,11,1,F,E,E_F.png,training,3,12,7,low,feet,stripes,C,F,E,W,5,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,411.2019,421.0346,1,[6.834000000000003],[6.834000000000003],Looks older,421.0356,422.0331,0,12,12,12,1,F,E,E_F.png,training,4,13,2,low,feet,stripes,C,F,E,W,5,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,422.0363,440.1861,1,[15.151499999999999],[15.151499999999999],looks more vital in stance,440.1863,441.1848,0,13,13,13,1,C,W,W_C.png,training,4,14,7,high,feet,stripes,C,F,E,W,5,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
