consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,302.4333,326.6767,1,[21.24740000000594],[21.24740000000594],Because fertility wanes over time,326.6769,327.6756,0,4,4,4,1,F,E,E_F.png,training,2,5,1,low,feet,stripes,C,F,W,E,17,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,327.6829,342.9417,1,[12.26490000000598],[12.26490000000598],the stripes ,342.9418,343.9398,0,5,5,5,1,C,E,E_C.png,training,2,6,9,high,feet,stripes,C,F,W,E,17,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,343.944,392.0059,1,[45.062200000002974],[45.062200000002974],"Nothing is changing frog to frog, so perhaps the numbers are mirroring the reality that litter sizes differ consistently and naturally",392.0061,393.0017,0,6,6,6,1,F,W,W_F.png,training,2,7,4,low,feet,stripes,C,F,W,E,17,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,393.0056,403.3685,1,[7.365400000005934],[7.365400000005934],NO idea,403.3686,404.3676,0,7,7,7,1,C,W,W_C.png,training,2,8,7,high,feet,stripes,C,F,W,E,17,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,404.3728,431.6661,1,[24.297500000000014],[24.297500000000014],I honestly have no clue,431.6662,432.6652,0,8,8,8,1,C,E,E_C.png,training,3,9,6,high,feet,stripes,C,F,W,E,17,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,432.6718,447.515,1,[11.848199999988083],[11.848199999988083],It rested a lot during pregnancy,447.5152,448.5127,0,9,9,9,1,C,W,W_C.png,training,3,10,8,high,feet,stripes,C,F,W,E,17,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,448.5153,456.1297,1,[4.615599999994004],[4.615599999994004],none of this makes sense,456.1298,457.1287,0,10,10,10,1,F,W,W_F.png,training,3,11,1,low,feet,stripes,C,F,W,E,17,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,457.1352,469.897,1,[9.765599999994038],[9.765599999994038],this is a sibling of the previous lizard,469.8972,470.8938,0,11,11,11,1,F,E,E_F.png,training,3,12,1,low,feet,stripes,C,F,W,E,17,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,470.8963,494.1091,1,[20.214],[20.214],limited access to food,494.1092,495.1078,0,12,12,12,1,F,W,W_F.png,training,4,13,3,low,feet,stripes,C,F,W,E,17,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,495.1117,508.0577,1,[9.948999999999955],[9.948999999999955],even more limited access to food,508.0578,509.0569,0,13,13,13,1,F,E,E_F.png,training,4,14,2,low,feet,stripes,C,F,W,E,17,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
