wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,8,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,227,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,C,T_B_C.png,training,1,2,4,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,S,T_B_S.png,training,1,3,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,S,T_Y_S.png,training,1,4,3,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,227,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,S,N_Y_S.png,training,1,5,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,227,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,C,T_Y_C.png,training,1,6,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,227,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,C,N_Y_C.png,training,1,7,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,227,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,B,C,N_B_C.png,training,1,8,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,227,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,S,N_Y_S.png,training,2,9,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,227,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,B,C,N_B_C.png,training,2,10,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,C,T_Y_C.png,training,2,11,7,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,227,7_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,B,S,N_B_S.png,training,2,12,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,227,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,C,N_Y_C.png,training,2,13,10,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,227,10_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,C,T_B_C.png,training,2,14,4,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,S,T_Y_S.png,training,2,15,3,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,227,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,S,T_B_S.png,training,2,16,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,227,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,S,T_Y_S.png,training,3,17,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,227,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,C,N_Y_C.png,training,3,18,9,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,227,9_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,B,C,N_B_C.png,training,3,19,7,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,227,7_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,C,T_B_C.png,training,3,20,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,227,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,Y,S,N_Y_S.png,training,3,21,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,227,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,Y,C,T_Y_C.png,training,3,22,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
T,B,S,T_B_S.png,training,3,23,6,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,227,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
N,B,S,N_B_S.png,training,3,24,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,227,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png","low,medium,medium,high,medium,high,medium,low"
