wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,N,T,326,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,C,N_B_C.png,training,1,2,5,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,1,3,4,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,N,T,326,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,Y,S,N_Y_S.png,training,1,4,7,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,N,T,326,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,S,N_B_S.png,training,1,5,8,high,tail,color,wing,S,C,B,Y,I2,H2,H1,N,T,326,8_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,C,T_B_C.png,training,1,6,3,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,N,T,326,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,1,7,1,low,tail,color,wing,S,C,B,Y,I1,L2,L1,N,T,326,1_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,S,T_B_S.png,training,1,8,7,high,tail,color,wing,S,C,B,Y,I1,H2,H1,N,T,326,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,Y,S,N_Y_S.png,training,2,9,4,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,N,T,326,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,Y,C,N_Y_C.png,training,2,10,4,low,tail,color,wing,S,C,B,Y,I2,L2,L1,N,T,326,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,2,11,5,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,2,12,4,low,tail,color,wing,S,C,B,Y,I1,L2,L1,N,T,326,4_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,S,N_B_S.png,training,2,13,9,high,tail,color,wing,S,C,B,Y,I2,H2,H1,N,T,326,9_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,C,T_B_C.png,training,2,14,5,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,C,N_B_C.png,training,2,15,5,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,S,T_B_S.png,training,2,16,7,high,tail,color,wing,S,C,B,Y,I1,H2,H1,N,T,326,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,Y,S,N_Y_S.png,training,3,17,6,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,N,T,326,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,S,T_B_S.png,training,3,18,8,high,tail,color,wing,S,C,B,Y,I1,H2,H1,N,T,326,8_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,Y,C,N_Y_C.png,training,3,19,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,N,T,326,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,3,20,5,low,tail,color,wing,S,C,B,Y,I1,L2,L1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,C,N_B_C.png,training,3,21,6,medium,tail,color,wing,S,C,B,Y,I2,H2,L1,N,T,326,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,3,22,3,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,N,T,326,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
T,B,C,T_B_C.png,training,3,23,5,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,N,T,326,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
N,B,S,N_B_S.png,training,3,24,6,high,tail,color,wing,S,C,B,Y,I2,H2,H1,N,T,326,6_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png","medium,high,low,low,medium,medium,high,medium"
