wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,S,T_B_S.png,training,1,2,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,191,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,S,N_Y_S.png,training,1,3,5,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,191,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,B,C,N_B_C.png,training,1,4,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,191,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,C,T_B_C.png,training,1,5,6,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,S,T_Y_S.png,training,1,6,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,191,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,C,N_Y_C.png,training,1,7,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,191,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,C,T_Y_C.png,training,1,8,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,C,T_B_C.png,training,2,9,5,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,191,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,S,T_B_S.png,training,2,10,2,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,191,2_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,C,T_Y_C.png,training,2,11,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,191,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,B,S,N_B_S.png,training,2,12,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,191,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,S,T_Y_S.png,training,2,13,7,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,191,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,S,N_Y_S.png,training,2,14,10,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,191,10_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,C,N_Y_C.png,training,2,15,6,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,B,C,N_B_C.png,training,2,16,7,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,191,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,B,S,N_B_S.png,training,3,17,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,C,T_Y_C.png,training,3,18,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,191,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,C,T_B_C.png,training,3,19,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,191,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,Y,S,T_Y_S.png,training,3,20,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,S,N_Y_S.png,training,3,21,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
T,B,S,T_B_S.png,training,3,22,2,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,191,2_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,Y,C,N_Y_C.png,training,3,23,6,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,191,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
N,B,C,N_B_C.png,training,3,24,8,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,191,8_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,low,medium"
