wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,2,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,267,2_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
T,B,S,T_B_S.png,training,1,2,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,267,4_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
N,B,C,N_B_C.png,training,1,3,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,267,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
N,B,S,N_B_S.png,training,1,4,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,267,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
T,Y,S,T_Y_S.png,training,1,5,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,267,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
T,Y,C,T_Y_C.png,training,1,6,2,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,267,2_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
N,Y,C,N_Y_C.png,training,1,7,6,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,267,6_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
N,Y,S,N_Y_S.png,training,1,8,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,267,8_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
T,B,S,T_B_S.png,training,2,9,2,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,267,2_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
N,B,S,N_B_S.png,training,2,10,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,267,5_food.png,"Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_C.png","low,high,high,medium,medium,low,medium,medium"
